,Roots,Unique Roots,Real Roots,Accuracy,Paths,Other Info
0,"[(-0.051445763943734985+0.004014429349256689j), 3.556893304490063, (-0.8193539584706113+1.5082644502001736j), -4.485354559826115e-23]",[-3.57774-2.1959j  -1.75749+3.04818j -2.62292-8.07984j -0.33487+0.5456j ],"[-0.045893682132674925, 3.5568933044900635, 1.650667724727969, 1.6427529032617312e-17]","[1.0048591735576161e-13, 1.0235750533041807e-14, 8.987733679556355e-14, 4.1317602818954125e-15]",-,Function Used
1,"[(-0.5981674648856052-3.5685453756605154j), 3.5568933044900626, (-0.3916346613721833-7.067171638694606j), -6.747006683667535e-80]",[-3.57774+2.1959j  -1.75749-3.04818j -2.62292+8.07984j -0.33487-0.5456j ],,"[7.105427357601002e-14, 1.3274943715714489e-14, 8.987733679556355e-14, 2.5121479338940403e-15]",-,5*x**3 + 5*x*y**2 + 3.14159265358979*x*z + 3.14159265358979
2,"[(-0.6048603636635125-3.6153228335157555j), (3.52920487654889+0.009531168292302968j), (0.4421190844813316-7.336831038962376j), (-0.551331563401974+0.09224034070954497j)]",[-3.55392-2.14749j -1.77845+3.08036j -2.48814-6.98017j -0.     +0.j     ],,"[5.1728291973635394e-14, 3.552713678800501e-15, 1.0247593068766006e-13, 2.326645093352713e-78]",-,w**2*y + y**3 - 45
3,"[(0.3861242280141721-4.091622879771145j), (3.5207329883211265-0.006885685212690847j), (6.656510418469911+4.863819752161951j), (0.6239666395052744+0.0588833927429419j)]",[-3.55392+2.14749j -1.77845-3.08036j -2.48814+6.98017j -0.     +0.j     ],,"[2.0097183471152322e-14, 3.552713678800501e-15, 5.684341886080802e-14, 7.078495317855917e-47]",-,9*w*x*z + 98*x + z**3
4,"[(0.3146708797220866-4.088655333527446j), 3.5568933044900626, (6.2943190741766974+3.852174746114944j), -1.349401336733507e-79]",[-3.475  -2.06778j -1.75982+3.04998j -2.32522-5.91369j  0.31533-0.52993j],,"[5.3290705182007514e-14, 1.670655108119295e-14, 6.355287432313019e-14, 1.878377932716794e-15]",-,43*w**3 + w*x**2
5,"[(0.24054115104013213-4.018697691901021j), (3.521823140021072-0.004213098386892783j), (5.856147014136311+2.8762628813907694j), (-0.612845652613844-0.036682181639779265j)]",[-3.475  +2.06778j -1.75982-3.04998j -2.32522+5.91369j  0.31533+0.52993j],,"[7.32410687763558e-14, 1.1955921596279233e-14, 6.355287432313019e-14, 1.878377932716794e-15]",-,
6,"[(0.3049414661841054-3.02899801224568j), (3.5371004087598417-0.0040259795182476825j), (-5.49068186638835+2.6586222683129144j), (0.4619178664077676+0.04650313762820438j)]",[-3.26657-1.1121j  -1.77501+3.05464j -4.90384+5.60199j  0.16959-0.49815j],,"[2.0097183471152322e-14, 4.965068306494546e-16, 2.0097183471152322e-14, 0.0]",-,Time Taken
7,"[(0.35788919017359117-3.015201787791107j), 3.5568933044900626, (-5.908664316697888+3.1078626584567135j), -5.397605346934028e-79]",[-3.26657+1.1121j  -1.77501-3.05464j -4.90384-5.60199j  0.16959+0.49815j],,"[2.0097183471152322e-14, 4.965068306494546e-16, 2.0097183471152322e-14, 0.0]",-,26.810887813568115
8,"[(0.401477139730463-2.957019796019218j), (3.5381880144504785-0.005174551555773432j), (-6.3093673061545+3.5051187064582168j), (-0.45094129133814104-0.06122468983011896j)]",[-3.22598-1.14481j -1.77845+3.08036j -4.13428+5.58455j  0.     +0.j     ],,"[2.0097183471152322e-14, 3.552713678800501e-15, 1.4210854715202004e-14, 7.120937163303399e-63]",-,
9,"[(0.021311982132673307-0.04145565431132024j), (-1.7784486095500462+3.0803642721584055j), (0.2611185485729973-1.6389308836382024j), (0.0063219237869913125+0.0032500540870312998j)]",[-3.22598+1.14481j -1.77845-3.08036j -4.13428-5.58455j -0.     +0.j     ],,"[1.5888218580782548e-14, 3.552713678800501e-15, 6.355287432313019e-14, 7.717067657944003e-46]",-,Root Finding Method Used
10,"[(0.021312214682329838-0.04145702212001805j), (-1.7784466522450313+3.0803599602391727j), (0.26153717448086533-1.6385209997909238j), 1.7062750803498834e-19]",[-3.13733-1.16001j -1.77397+3.05639j -3.38443+5.57057j -0.1769 +0.47844j],,"[3.8263897345803626e-14, 7.159217025903644e-15, 3.03543989777123e-14, 9.930136612989092e-16]",-,Newton-Raphson with 5 steps.
11,"[(0.02131237679168464-0.04145817308251915j), (-1.7784486095985579+3.0803642726769107j), (0.2619558563919596-1.6381083860822443j), (-0.006322312123685844-0.003250106991121691j)]",[-3.13733+1.16001j -1.77397-3.05639j -3.38443-5.57057j -0.1769 -0.47844j],,"[5.0242958677880804e-14, 7.159217025903644e-15, 3.552713678800501e-14, 1.3322676295501878e-15]",-,
12,"[(0.02543614684192055-0.0476326053116074j), (-1.7784494584601094+3.0803656619494997j), (1.3469878151811077+1.1060643155283576j), (0.007263904194820443+0.0038789760382153308j)]",[-2.51112-1.90721j -1.76328+3.06489j  6.00777+1.7658j  -0.29085+0.38294j],,"[4.7664655742347644e-14, 5.161716269871197e-15, 2.929642751054232e-14, 6.661338147750939e-16]",-,Worst Accuracy
13,"[(0.025434037706303127-0.04763210880941237j), (-1.7784466522450313+3.0803599602391727j), (1.347208746413108+1.1053083281784104j), 1.8563096168426344e-24]",[-2.51112+1.90721j -1.76328-3.06489j  6.00777-1.7658j  -0.29085-0.38294j],,"[2.1316282072803006e-14, 5.24462882058764e-15, 2.929642751054232e-14, 1.9860273225978185e-15]",-,1.7987394183555364e-06
14,"[(0.0254317694012014-0.047631210864680196j), (-1.77844945744125+3.0803656615873494j), (1.3474256823371558+1.104549869854517j), (-0.007263691560074556-0.0038783084747116944j)]",[-2.4982 -1.97939j -1.77845+3.08036j  6.61648+1.50285j -0.     +0.j     ],,"[1.5888218580782548e-14, 3.552713678800501e-15, 2.842170943040401e-14, 1.7526100781377992e-46]",-,
