,Roots,Real Roots,Accuracy,Paths,Other Info
0,[-3.554-2.147j -1.778+3.08j  -2.488-6.98j   0.   -0.j   ],"[-0.046, 3.557, 1.651, 0.0]","[1.8207657603852567e-14, 3.552713678800501e-15, 6.355287432313019e-14, 9.728461288653334e-47]",-,Function Used
1,[-3.554+2.147j -1.778-3.08j  -2.488+6.98j   0.   +0.j   ],,"[4.050960254169386e-14, 3.552713678800501e-15, 8.038873388460929e-14, 1.1134189485290368e-62]",-,5*x**3 + 5*x*y**2 + 3.14159265358979*x*z + 3.14159265358979
2,[-3.445-2.111j -1.662+2.902j -2.586-7.925j -0.322+0.525j],,"[7.61156469010769e-14, 1.2080532582046505e-14, 8.038873388460929e-14, 2.220446049250313e-15]",-,6*w**2*y + y**3 - 45
3,[-3.445+2.111j -1.662-2.902j -2.586+7.925j -0.322-0.525j],,"[3.3753701461698185e-14, 7.444291678311382e-15, 1.2710574864626038e-13, 1.831026719408895e-15]",-,9*w*x*z + 98*x + z**3
4,[-3.352-1.994j -1.675+2.911j -2.305-5.889j  0.304-0.511j],,"[3.1977506913340456e-14, 4.440892098500626e-15, 2.842170943040401e-14, 2.1556631856153973e-15]",-,43*w**3 + w*x**2
5,[-3.352+1.994j -1.675-2.911j -2.305+5.889j  0.304+0.511j],,"[3.7474919966821894e-14, 3.552713678800501e-15, 2.842170943040401e-14, 1.9173458420030423e-15]",-,
6,[-3.226-1.145j -1.778+3.08j  -4.134+5.585j  0.   -0.j   ],,"[1.5694642960426368e-14, 7.105427357601002e-15, 5.684341886080802e-14, 2.348830086214889e-61]",-,Time Taken
7,[-3.226+1.145j -1.778-3.08j  -4.134-5.585j  0.   -0.j   ],,"[2.9727452448432886e-14, 3.552713678800501e-15, 2.842170943040401e-14, 7.071187884411377e-78]",-,49.66111946105957
8,[-3.147-1.08j  -1.759+2.937j -4.812+5.528j  0.165-0.48j ],,"[3.526247299686481e-14, 7.160723346098895e-15, 8.038873388460929e-14, 9.930136612989092e-16]",-,
9,[-3.147+1.08j  -1.759-2.937j -4.812-5.528j  0.165+0.48j ],,"[2.9191899439142324e-14, 4.440892098500626e-16, 1.0247593068766006e-13, 8.881784197001252e-16]",-,Root Finding Method Used
10,[-3.029-1.123j -1.753+2.946j -3.381+5.504j -0.171+0.462j],,"[1.9785657032707482e-14, 1.4238583238573986e-14, 1.4210854715202004e-14, 4.440892098500626e-16]",-,Newton-Raphson with 5 steps.
11,[-3.029+1.123j -1.753-2.946j -3.381-5.504j -0.171-0.462j],,"[4.508107038520305e-14, 3.1086244689504383e-15, 2.842170943040401e-14, 9.930136612989092e-16]",-,
12,[-2.498-1.979j -1.778+3.08j   6.616+1.503j  0.   -0.j   ],,"[4.440892098500626e-16, 3.552713678800501e-15, 6.355287432313019e-14, 9.693401079945924e-79]",-,Worst Accuracy
13,[-2.498+1.979j -1.778-3.08j   6.616-1.503j -0.   +0.j   ],,"[1.9785657032707482e-14, 7.105427357601002e-15, 2.842170943040401e-14, 8.835190769786665e-61]",-,1.2710574864626038e-13
14,[-2.427-1.839j -1.694+2.994j  5.966+1.73j  -0.28 +0.37j ],,"[4.3295851141090056e-14, 7.119291619286993e-15, 2.842170943040401e-14, 1.9860273225978185e-15]",-,
15,[-2.427+1.839j -1.694-2.994j  5.966-1.73j  -0.28 -0.37j ],,"[4.3295851141090056e-14, 7.119291619286993e-15, 2.842170943040401e-14, 1.9860273225978185e-15]",-,Number of Homotopy Steps
16,[-2.369-1.941j -1.686+2.999j  7.105+1.255j  0.296-0.361j],,"[5.130143462948771e-14, 7.444291678311382e-15, 2.842170943040401e-14, 4.440892098500626e-16]",-,5
17,[-2.369+1.941j -1.686-2.999j  7.105-1.255j  0.296+0.361j],,"[5.130143462948771e-14, 7.444291678311382e-15, 2.842170943040401e-14, 4.440892098500626e-16]",-,
18,[-0.598-3.569j  3.557+0.j    -0.392-7.067j -0.   -0.j   ],,"[3.526247299686481e-14, 7.105427357601002e-15, 0.0, 1.5306180292746823e-77]",-,Number of Roos Found
19,[-0.598+3.569j  3.557+0.j    -0.392+7.067j  0.   +0.j   ],,"[2.1760371282653068e-14, 7.105427357601002e-15, 7.105427357601002e-15, 0.0]",-,81
20,[-0.576-3.483j  3.403+0.052j  0.401-7.231j -0.531+0.088j],,"[3.614624287906422e-14, 2.220446049250313e-16, 1.1457157353758233e-13, 1.831026719408895e-15]",-,
21,[-0.576+3.483j  3.403-0.052j  0.401+7.231j -0.531-0.088j],,"[3.98023857690729e-14, 4.440892098500626e-16, 6.07087979554246e-14, 1.9860273225978185e-15]",-,Number of Unique Roots
22,[-0.553-3.351j  3.414+0.048j -1.114-6.713j  0.511-0.084j],,"[2.940729105763627e-14, 7.105427357601002e-15, 5.684341886080802e-14, 8.881784197001252e-16]",-,80
23,[-0.553+3.351j  3.414-0.048j -1.114+6.713j  0.511+0.084j],,"[2.940729105763627e-14, 7.105427357601002e-15, 5.684341886080802e-14, 8.881784197001252e-16]",-,
24,[-5.100e-02-0.004j  3.557e+00+0.j    -8.200e-01-1.509j -1.000e-03+0.008j],,"[5.551115123125783e-17, 7.105427357601002e-15, 2.220446049250313e-16, 0.0]",-,
25,[-5.100e-02-0.004j  3.557e+00+0.j    -8.190e-01-1.508j  1.000e-03-0.008j],,"[4.577566798522237e-16, 2.710505431213761e-20, 9.930136612989092e-16, 8.470329472543003e-22]",-,
26,[-5.100e-02+0.004j  3.557e+00-0.j    -8.200e-01+1.509j -1.000e-03-0.008j],,"[5.551115123125783e-17, 7.105427357601002e-15, 9.155133597044475e-16, 6.776263578034403e-21]",-,
