,Roots,Accuracy,Paths,Other Info
0,"[-9.334482959187395e-16, 1.414213562373097, -2.51051480928503, (0.0002857057052014527-0.00013897071266688078j)]","[9.96193808088596e-16, 3.710548717229577e-16, 3.552713678800307e-15, 1.3790097481274958e-09]",-,Function Used
1,"[(2.3581767349690392-4.3176005823303845j), (-2.8691351528749847-4.514531751497291j), (-0.02106737686384724-14.91109284987928j), (0.17258110393129197+0.29090472126115113j)]","[1.923987993140705e-14, 1.4210854715202004e-14, 1.1504299109832135e-11, 5.551115123125783e-17]",-,70*w*x + x**3 + x
2,"[1.0149022875019295e-15, 1.414213562373093, (1.2552574046425125-3.0674083476232954j), (-0.0002549606076034961-0.00017218630537963288j)]","[2.6264481270784346e-15, 1.740364896611162e-16, 3.972054645195498e-15, 1.2521901194265853e-09]",-,6*x*y + y**3 - 2*y
3,"[-1j, -1.5930919111324523e-58, 0.8764044943820225, -6.372367644529809e-58]","[1.7842629404683466e-55, 1.0075597922338206e-57, 0.0, 2.6273944883664817e-57]",-,98*x**2*z + 2*y*z**3 + 3*y*z + 9*z + 78
4,"[(2.3581767349690392-4.3176005823303845j), (-2.8691351528749847-4.514531751497291j), (0.0034657492406259586+14.938688315499688j), (0.17258110393129197+0.29090472126115113j)]","[1.923987993140705e-14, 1.4210854715202004e-14, 7.275957614183426e-12, 5.551115123125783e-17]",-,43*w**3 + w*x
5,"[1.0151001940900973e-15, 1.414213562373093, (1.2552574046425198+3.067408347623292j), (-0.00025496539139881566-0.00017218952276153973j)]","[2.62691365729019e-15, 1.7571578274753508e-16, 3.7942998722140625e-14, 1.25226051373792e-09]",-,
6,"[-1j, 0.0, 0.8764044943820225, 0.0]","[0.0, 1.500181067022791e-81, 9.429910515120081e-82, 0.0]",-,Time Taken
7,"[(2.3581767349690392-4.317600582330385j), (-2.8691351528749847-4.514531751497292j), (0.017601627623220675-0.027595465620407673j), (0.17258110393129197+0.29090472126115113j)]","[2.8258174946552532e-14, 6.514653997020136e-14, 1.3322676295501878e-14, 2.2887833992611187e-16]",-,52.42257499694824
8,"[1.0153088008792365e-15, 1.414213562373093, -2.510514809285032, (-0.0002549704339849606-0.00017219291431726659j)]","[2.6274043312764133e-15, 1.7748587004995738e-16, 1.9539925233404008e-14, 1.2523347198865332e-09]",-,
9,"[-1j, (2.040166086417569+1.470468517231287j), (0.9699675582748253+0.09640295010201688j), 0.0]","[0.0, 1.7763568394002505e-15, 0.0, 0.0]",-,Root Finding Method Used
10,"[(2.3581767349690392-4.3176005823303845j), (2.8691351528749847+4.514531751497291j), (14.81514872637501+0.0016857518792553004j), (0.17258110393129197+0.29090472126115113j)]","[1.923987993140705e-14, 1.4210854715202004e-14, 8.134767913360665e-12, 5.551115123125783e-17]",-,Newton-Raphson with 5 steps.
11,"[4.989733888642853e-18, 6.077163357286271e-63, -8.666666666666666, (-0.00014975903210556784-0.00010119682606836523j)]","[2.5115743118575157e-17, 6.316742862791142e-62, 9.669309838387355e-27, 2.5390049567697987e-10]",-,
12,"[-1j, (2.040166086417569+1.4704685172312868j), (3.2707009377081038-1.444295472257859j), 0.0]","[0.0, 2.5121479338940403e-15, 2.842170943040401e-14, 0.0]",-,Worst Accuracy
13,"[(2.3581767349690392-4.3176005823303845j), (2.8691351528749847+4.514531751497291j), (-14.83299094942959+0.026286082255966046j), (0.17258110393129197+0.29090472126115113j)]","[1.923987993140705e-14, 1.4210854715202004e-14, 0.0, 5.551115123125783e-17]",-,1.5218426799398242e-09
14,"[1.958999186070347e-15, 1.1289923755813463e-53, -8.666666666666666, (-0.0002719952224280035-0.00018388626411251655j)]","[4.773305371194579e-15, 2.422351483650031e-53, 5.523176290724792e-23, 1.5218426799398242e-09]",-,
15,"[-1j, (2.040166086417569+1.470468517231287j), (-4.24066849598293+1.3478925221558424j), 0.0]","[0.0, 1.7763568394002505e-15, 6.355287432313019e-14, 0.0]",-,Number of Homotopy Steps
16,"[(2.3581767349690392-4.3176005823303845j), (2.8691351528749847+4.514531751497291j), (0.017842223054579373-0.027971834135222837j), (0.17258110393129197+0.29090472126115113j)]","[1.923987993140705e-14, 1.4210854715202004e-14, 1.4956315403090868e-14, 5.551115123125783e-17]",-,5
17,"[1.6337339814654242e-17, 9.067127729071117e-61, -8.666666666666666, (-0.00016791220417148033-0.0001134508545983052j)]","[6.658902412210457e-17, 2.2675114003496612e-60, 4.9061914480786074e-26, 3.5783744915117475e-10]",-,
18,"[-1j, (-2.040166086417569-1.4704685172312868j), (0.7937490855240632-0.04819936492007913j), 0.0]","[0.0, 2.5121479338940403e-15, 0.0, 0.0]",-,
19,"[(2.3581767349690392-4.317600582330385j), 0.0, (0.017721110924520042-0.02778237497414726j), (0.17258110393129197+0.29090472126115113j)]","[2.8258174946552532e-14, 9.426350258737712e-82, 9.547918011776346e-15, 2.2887833992611187e-16]",-,
20,"[9.883572035273598e-16, -1.414213562373093, 3.206580549189167, (-0.00025431091340741307-0.00017174953898185544j)]","[2.563932730715733e-15, 5.120601696590155e-17, 2.6645352591005284e-14, 1.242655552157316e-09]",-,
21,"[-1j, (-2.040166086417569-1.4704685172312868j), (0.834626150753322+4.248093844023289j), 0.0]","[0.0, 2.5121479338940403e-15, 7.105427357601002e-14, 0.0]",-,
22,"[(2.3581767349690392-4.3176005823303845j), 0.0, (0.017721110924520046-0.027782374974147265j), (0.17258110393129197+0.29090472126115113j)]","[1.923987993140705e-14, 1.4728672279277672e-83, 4.718447854656915e-15, 5.551115123125783e-17]",-,
23,"[9.91020594592652e-16, -1.414213562373093, (-1.603290274594581+2.4555322434228524j), (-0.00025437683980580384-0.000171793842382469j)]","[2.570211712861654e-15, 2.8606394367265854e-17, 9.057678187205092e-15, 1.243620726061524e-09]",-,
24,"[-1j, (-2.040166086417569-1.4704685172312868j), (-1.6283752362773853-4.199894479103209j), 0.0]","[6.711651222086736e-92, 2.5121479338940403e-15, 5.684341886080802e-14, 9.588073174409622e-94]",-,
25,"[(2.3581767349690392-4.3176005823303845j), 0.0, (0.017721110924520042-0.02778237497414726j), (0.17258110393129197+0.29090472126115113j)]","[1.923987993140705e-14, 4.0485866081919603e-72, 1.4419228562316118e-14, 5.551115123125783e-17]",-,
26,"[9.908456553591375e-16, -1.414213562373093, (-1.6032902745945856-2.4555322434228475j), (-0.0002543725153527658-0.00017179093626487304j)]","[2.5697993224408707e-15, 3.009080298702844e-17, 7.324106877637544e-15, 1.243557399813369e-09]",-,
27,"[(2.3581767349690392+4.3176005823303845j), (2.869135152874985-4.514531751497291j), (0.017842223054579377+0.027971834135222837j), (0.17258110393129197-0.29090472126115113j)]","[1.923987993140705e-14, 4.263256414560601e-14, 1.176836406102666e-14, 5.551115123125783e-17]",-,
28,"[1.7981398017448433e-15, 1.4142135623730911, (1.2552574046425167-3.0674083476232945j), (-2.2260331241113796e-05+0.0003141666847631464j)]","[1.8076943490212027e-15, 2.8540017672967874e-16, 4.6491707650995555e-14, 1.3434180949906404e-09]",-,
