,Roots,Real Roots,Accuracy,Paths,Other Info
0,"[ 0.01815559-1.43620308j  1.19794442-2.0730287j   0.63315268+0.15516073j
 -0.45051782-1.39935848j]","[-1.8869822669428817, -2.293323958648836, -1.5809045329316527, -3.24933176333927]","[1.4936523181711914e-15, 1.3256360457894334e-14, 9.155133597044475e-16, 1.790180836524724e-15]",-,Function Used
1,"[0.35656237-1.60338244j 1.15134523-2.11220918j 1.02553756-0.84796038j
 2.20652675+0.82792578j]",,"[3.6771686055379495e-15, 7.822149574203035e-15, 0.0, 1.37882369488729e-14]",-,w + x**3 + x*y + z**2 + 3.14159265358979
2,"[-0.08663946-1.23035982j  1.21230063-2.09398685j  0.58470114-0.67568457j
 -0.73833836+0.26549729j]",,"[1.117140368961273e-15, 2.691460900928123e-14, 9.930136612989092e-16, 1.4217791915866692e-15]",-,w*x*z + 5*y**3 + 70
3,"[ 0.27831157-1.475249j    1.170725  -2.06327124j  1.30828907+0.44327576j
 -0.14314611-1.7263883j ]",,"[2.7589935687123503e-15, 1.1724291566434251e-14, 2.220446049250313e-15, 2.8435583831733384e-15]",-,w**2 + x*y*z + 1.7*z**3 + 3
4,"[0.79420037-1.06203503j 1.26484379-2.10598089j 0.80102593+1.53727862j
 1.99851083+1.36483957j]",,"[2.710399819191012e-15, 2.324585382549742e-14, 4.3737714791252564e-15, 6.90840681820861e-15]",-,w**3 + 6*x**2 + x*y + z**3 + 12.5663706143592
5,"[ 0.99651358-0.56742385j  1.16529262-2.0422643j   1.20977929+1.55517556j
 -2.21602329+0.44124979j]",,"[1.3506446028928519e-15, 2.0173396973056706e-14, 6.466036496704424e-15, 1.0986160316453369e-14]",-,
6,"[ 0.24720442-1.41538525j  1.25155417-2.10917038j -1.28941221-0.7210142j
 -0.13783752-2.14252186j]",,"[6.087272963323595e-16, 2.512932857498226e-14, 1.5543122344752192e-15, 1.0395861869767154e-14]",-,Time Taken
7,"[ 1.1012799 -1.71824064j  1.13807556-1.89346389j -2.22279256-0.82890535j
  3.02321421+1.5346393j ]",,"[5.347542221830668e-15, 2.220446049250313e-14, 9.769962616701378e-15, 2.54839113996105e-14]",-,349.2849884
8,"[ 0.4572116 -1.26731018j  1.15127156-2.10173677j -1.68388202+0.01648172j
 -1.73223014+1.23483272j]",,"[3.0927234722497852e-15, 3.77789173054379e-14, 3.2023728339893768e-15, 5.687116766346677e-15]",-,
9,"[ 0.65095277-1.58072307j  1.13142729+2.09008912j -0.15838731-1.74580787j
  0.44455224-2.06538896j]",,"[4.5083804476868555e-15, 7.53644380168212e-15, 3.233018248352212e-15, 3.2023728339893768e-15]",-,Root Finding Method Used
10,"[0.87178244-1.83343158j 1.28990145+2.01142152j 0.75573169-1.66666117j
 2.38157568+1.14774318j]",,"[7.549516567451064e-15, 1.432144669219779e-14, 4.7207330545682824e-15, 1.1348195573628883e-14]",-,Newton-Raphson with 5 steps.
11,"[ 0.41592913-1.31312109j  1.21619077+2.13064939j  0.37390698-1.70292841j
 -1.60549469+0.40158082j]",,"[1.6699540590904642e-15, 1.342589724536134e-14, 4.463041323674983e-15, 5.0937342108501144e-15]",-,
12,"[ 0.81909733-1.92563949j  1.20266787+2.03939075j  0.72650671+0.04976118j
 -0.01685749-2.69144541j]",,"[8.131628749204212e-15, 1.838550782239108e-14, 9.155133597044475e-16, 1.2080532582046505e-14]",-,Worst Accuracy
13,"[1.24050379-1.34267408j 1.09947214+2.19601547j 0.12113405+2.28213395j
 2.53953076+1.97716211j]",,"[4.311326371230795e-15, 2.07157025572446e-14, 7.549516567451064e-15, 2.1482170038296686e-14]",-,3.78E-14
14,"[ 1.38622797-1.04693923j  1.17216811+1.98280812j  0.76606485+1.67163161j
 -2.7404245 +0.80536043j]",,"[2.7465400791133423e-15, 6.4047456679787536e-15, 8.188600426433445e-15, 1.564429914840607e-14]",-,
15,"[ 0.52143006-1.79711228j  1.2939888 +2.07852985j -0.16322154+1.64188316j
  0.02775014-2.56051288j]",,"[3.108672870456331e-15, 1.9720761300567452e-14, 4.803559250984066e-15, 1.8716397776407338e-14]",-,Number of Homotopy Steps
16,"[ 1.39422547-1.89925524j  1.1565127 +1.95652338j -1.30257845-0.71002724j
  2.7148998 +1.84369369j]",,"[9.264875997516715e-15, 1.507288760336424e-14, 3.552713678800501e-15, 1.5466805407331916e-14]",-,100
17,"[ 0.93004915-1.62787524j  1.25908983+2.03959211j -1.21864664+0.41011462j
 -2.36037095+1.06275102j]",,"[4.989831893063952e-15, 7.283604593613869e-15, 1.7763568394002505e-15, 1.1717981964273215e-14]",-,
18,"[ 0.61804388-1.0527447j  -2.3876198 -0.00672901j  0.36960048-0.7419707j
  0.57386286-1.92127997j]",,"[1.1801832636420706e-15, 1.8968900347514455e-14, 6.280369834735101e-16, 4.440892098500626e-15]",-,Number of Roos Found
19,"[ 0.83738387-1.39578908j -2.44755206+0.09833399j  1.63005786-1.39137486j
  2.35658844+1.25435024j]",,"[4.7207330545682824e-15, 2.1683198553528097e-14, 5.347542221830668e-15, 8.95090418262362e-15]",-,81
20,"[ 0.14346262-0.83658713j -2.42899645-0.01633109j  0.96852621-1.37365245j
 -1.5323157 +0.09725831j]",,"[1.224080674111502e-15, 9.155133597044475e-15, 3.972054645195637e-15, 3.4755478145461824e-15]",-,
21,"[ 0.74788497-1.30844751j -2.36050354+0.02371804j  1.32221731-0.34097196j
  0.38366145-2.24919363j]",,"[1.8452761694870047e-15, 7.822149574203035e-15, 9.155133597044475e-16, 9.589139651961702e-15]",-,Number of Unique Roots
22,"[ 1.35279848-0.80133015j -2.39438112-0.06149395j  0.01200071+1.26657013j
  1.88116541+2.01899722j]",,"[2.7012892057857038e-15, 1.553677691793345e-14, 1.3322676295501878e-15, 1.541571755377705e-14]",-,-
23,"[ 1.68692853-0.47536658j -2.32674792+0.0412294j   1.10336046+1.1460124j
 -2.79713083+0.24633278j]",,"[4.167405171867302e-15, 9.565974336450906e-15, 3.2023728339893768e-15, 2.152458757787511e-14]",-,
24,"[ 0.67372841-1.32583667j -2.45329682-0.00870314j -1.41090763+0.77438721j
  0.37893132-1.58681079j]",,"[2.0114655421281033e-15, 1.4842149702215226e-14, 3.2487068343022356e-15, 3.66205343881779e-15]",-,
25,"[ 1.32839331-1.46807684j -2.29031001-0.04263457j -1.96173903+0.00968j
  2.36004076+1.34002359j]",,"[4.965068306494546e-15, 7.755684626330685e-15, 6.2803698347351005e-15, 1.8508453422483046e-14]",-,
26,"[ 0.92066802-1.07021666j -2.42022285+0.05412394j -1.83016386+0.45983581j
 -1.72623229+0.5388114j ]",,"[2.914203267236168e-15, 1.0715809139595271e-14, 5.347542221830668e-15, 2.3914935841127266e-15]",-,
27,"[1.24050379+1.34267408j 1.09947214-2.19601547j 0.12113405-2.28213395j
 2.53953076-1.97716211j]",,"[4.849527372528318e-15, 1.2809491335957507e-14, 1.1382899616642114e-14, 2.429537347586207e-14]",-,
28,"[ 0.52143006+1.79711228j  1.2939888 -2.07852985j -0.16322154-1.64188316j
  0.02775014+2.56051288j]",,"[5.625146278219499e-15, 2.968429940443045e-14, 3.2023728339893768e-15, 1.1801832636420705e-14]",-,
29,"[ 1.38622797+1.04693923j  1.17216811-1.98280812j  0.76606485-1.67163161j
 -2.7404245 -0.80536043j]",,"[4.76749985125122e-15, 1.2121276483828486e-14, 4.803559250984066e-15, 1.7798229048217483e-14]",-,
