,Roots,Accuracy,Paths,Other Info
0,"[(0.24720442065784057-1.415385245445328j), (1.2515541691700713-2.10917038267824j), (-1.289412214313751-0.7210142030503855j), (-0.13783751963993826-2.1425218563178987j)]","[1.984669222379582e-15, 2.3313626137889344e-14, 1.4217791915866692e-15, 7.869280847691828e-15]",-,Function Used
1,"[(0.35656237346122355-1.6033824362793543j), (1.1513452250260932-2.1122091765054254j), (1.0255375574106815-0.8479603824772125j), (2.2065267530272807+0.8279257836842888j)]","[3.820199830714189e-15, 1.1374233532693354e-14, 2.3914935841127266e-15, 5.063396036227354e-15]",-,w + x**3 + x*y + z**2 + 3.14159265358979
2,"[(-0.08663946378130431-1.2303598181145323j), (1.21230063175741-2.093986850042717j), (0.5847011381184836-0.6756845741433858j), (-0.7383383593034173+0.26549728827157265j)]","[1.5671457702085671e-15, 7.995340312588398e-15, 1.1957467920563633e-15, 1.7342238036525468e-15]",-,w*x*z + 5*y**3 + 70
3,"[(0.27831157373235216-1.4752490007194217j), (1.1707249971448634-2.0632712357528504j), (1.3082890740119466+0.44327575600384667j), (-0.14314611085730036-1.7263883006172474j)]","[3.985317937802787e-15, 1.4432899320127035e-14, 2.3914935841127266e-15, 4.884981308350689e-15]",-,w**2 + x*y*z + 1.7*z**3 + 3
4,"[(0.7942003712545133-1.0620350295155394j), (1.2648437925572675-2.1059808883649707j), (0.8010259257117754+1.5372786174860797j), (1.9985108278444794+1.3648395681338579j)]","[2.482534153247273e-15, 1.9720761300567452e-14, 3.66205343881779e-15, 1.2260803654376782e-14]",-,w**3 + 6*x**2 + x*y + z**3 + 12.5663706143592
5,"[(0.996513580928063-0.5674238461725206j), (1.165292622935375-2.042264303549464j), (1.2097792880657168+1.5551755587488574j), (-2.2160232867025216+0.4412497874074353j)]","[1.0429598422709816e-15, 1.917602970893058e-14, 6.764165321960921e-15, 9.071276270507187e-15]",-,
6,"[(0.01815558513853885-1.4362030822025313j), (1.1979444225962341-2.073028696602043j), (0.633152675000276+0.15516073383436338j), (-0.4505178244964367-1.3993584785080557j)]","[2.651202354599825e-15, 1.5152917498415998e-14, 8.005932084973442e-16, 1.897149936107019e-15]",-,Time Taken
7,"[(1.1012798968412782-1.718240642256975j), (1.1380755639400852-1.8934638884065031j), (-2.222792557409405-0.8289053509118606j), (3.023214207793217+1.5346393019587958j)]","[6.575670183899639e-15, 7.105427357601002e-15, 1.2121276483828486e-14, 2.4629941861785993e-14]",-,338.25204610824585
8,"[(0.45721160359218166-1.2673101754660439j), (1.1512715603002337-2.101736766907475j), (-1.6838820232062337+0.016481716960281435j), (-1.7322301444677075+1.2348327156252703j)]","[2.482534153247273e-15, 2.4665947643496394e-14, 2.220446049250313e-15, 9.493542985708791e-15]",-,
9,"[(0.6509527653396805-1.580723066502637j), (1.1314272933810143+2.0900891206797376j), (-0.15838731419263433-1.7458078677099687j), (0.44455224335788734-2.065388960606866j)]","[3.526596831064619e-15, 9.144356508438812e-15, 4.965068306494546e-15, 9.254226711241523e-15]",-,Root Finding Method Used
