,Parameters,Minima Found,Cost Function Values,Other Info
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],,,Time Taken
1,"[ 2.40291e+05  1.29299e+05  1.60046e+05  3.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-201.58494,    1.65278, -144.41388]), array([-198.70144,    1.72562,  138.27066]), array([-1.947580e+00,  2.542488e+02,  4.450000e-03]), array([ 1.947580e+00, -2.542488e+02, -4.450000e-03]), array([ 198.70144,   -1.72562, -138.27066]), array([201.58494,  -1.65278, 144.41388])]",1.0707582898579493,9196.638406515121
2,"[ 2.40291e+05  1.29299e+05  1.60046e+05  3.00000e+00  1.00000e+00
  4.00000e+00 -4.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-201.58326,    1.40639, -144.41933]), array([-198.69965,    1.4638 ,  138.27721]), array([-1.5465200e+00,  2.5425392e+02,  6.5500000e-03]), array([ 1.5465200e+00, -2.5425392e+02, -6.5500000e-03]), array([ 198.69965,   -1.4638 , -138.27721]), array([201.58326,  -1.40639, 144.41933])]",1.0707582898579493,
3,"[ 2.40291e+05  1.29299e+05  1.60046e+05  3.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  5.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-201.58458,    1.68304, -144.41435]), array([-198.70102,    1.75603,  138.27127]), array([-1.947580e+00,  2.542488e+02,  4.780000e-03]), array([ 1.947580e+00, -2.542488e+02, -4.780000e-03]), array([ 198.70102,   -1.75603, -138.27127]), array([201.58458,  -1.68304, 144.41435])]",1.0780617573061635,Minimum Cost Function Value
4,"[ 1.16239e+05  1.29299e+05  1.60046e+05  3.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-142.14621,    1.96808, -143.54212]), array([-136.18051,    2.08586,  139.27435]), array([-1.7712300e+00,  2.5425712e+02,  5.3700000e-03]), array([ 1.7712300e+00, -2.5425712e+02, -5.3700000e-03]), array([ 136.18051,   -2.08586, -139.27435]), array([142.14621,  -1.96808, 143.54212])]",1.0780617638306749,1.070758216881315
5,"[ 2.40291e+05  1.30992e+05  1.60046e+05  8.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.53770e+04 -1.08000e+02 -9.80600e+03]","[array([-105.39683,    2.25975, -116.64365]), array([-103.46569,    2.41563,  112.87602]), array([-1.5540900e+00,  2.5591321e+02,  6.5000000e-03]), array([ 1.5540900e+00, -2.5591321e+02, -6.5000000e-03]), array([ 103.46569,   -2.41563, -112.87602]), array([105.39683,  -2.25975, 116.64365])]",1.0780617638306749,
6,"[ 2.40291e+05  1.30992e+05  1.60046e+05  8.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-105.41578,    2.81156, -116.60846]), array([-103.48932,    2.99672,  112.83147]), array([-1.9300800e+00,  2.5590852e+02,  4.5700000e-03]), array([ 1.9300800e+00, -2.5590852e+02, -4.5700000e-03]), array([ 103.48932,   -2.99672, -112.83147]), array([105.41578,  -2.81156, 116.60846])]",1.0780617638306749,Average of this generation
7,"[ 2.40291e+05  1.31204e+05  1.60046e+05  2.00000e+00  1.00000e+00
  4.00000e+00  0.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-246.56652,    1.08034, -145.06859]), array([-243.68397,    1.11654,  137.5402 ]), array([-1.3156000e+00,  2.5612269e+02,  7.7300000e-03]), array([ 1.3156000e+00, -2.5612269e+02, -7.7300000e-03]), array([ 243.68397,   -1.11654, -137.5402 ]), array([246.56652,  -1.08034, 145.06859])]",1.0780617638306749,12001.784478656216
8,"[ 2.40291e+05  1.31204e+05  1.60046e+05  2.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.46000e+02 -9.80600e+03]","[array([-246.56822,    1.44246, -145.06195]), array([-243.68566,    1.50169,  137.53232]), array([-1.9279800e+00,  2.5611559e+02,  9.6800000e-03]), array([ 1.9279800e+00, -2.5611559e+02, -9.6800000e-03]), array([ 243.68566,   -1.50169, -137.53232]), array([246.56822,  -1.44246, 145.06195])]",1.078954109455112,
9,"[ 2.40291e+05  1.31204e+05  1.60046e+05  2.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-246.5682 ,    1.44416, -145.06199]), array([-243.68568,    1.50001,  137.53226]), array([-1.9280000e+00,  2.5611558e+02,  4.5800000e-03]), array([ 1.9280000e+00, -2.5611558e+02, -4.5800000e-03]), array([ 243.68568,   -1.50001, -137.53226]), array([246.5682 ,  -1.44416, 145.06199])]",1.078954109455112,Change in Average
10,"[ 2.40291e+05  1.31204e+05  1.60046e+05  2.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -7.30000e+01 -9.80600e+03]","[array([-246.56818,    1.44572, -145.06203]), array([-243.68571,    1.49847,  137.53221]), array([-1.9280200e+00,  2.5611558e+02, -1.1000000e-04]), array([ 1.9280200e+00, -2.5611558e+02,  1.1000000e-04]), array([ 243.68571,   -1.49847, -137.53221]), array([246.56818,  -1.44572, 145.06203])]",1.078954109455112,3000.0861174051242
11,"[ 2.40291e+05  1.31204e+05  1.60046e+05  3.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  2.10000e+01  0.00000e+00  5.00000e+00
  6.00000e+00  0.00000e+00  1.90970e+04  0.00000e+00 -9.80600e+03]","[array([-201.8012 ,    7.28381, -143.82837]), array([-199.00596,    8.64093,  137.35275]), array([ 199.00596,   -8.64093, -137.35275]), array([201.8012 ,  -7.28381, 143.82837])]",1.078954109455112,
12,"[ 2.40291e+05  1.31204e+05  1.60046e+05  2.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  5.00000e+00  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-246.56637,    1.56583, -145.06551]), array([-243.68366,    1.61801,  137.53674]), array([-1.9279800e+00,  2.5611559e+02,  7.8000000e-03]), array([ 1.9279800e+00, -2.5611559e+02, -7.8000000e-03]), array([ 243.68366,   -1.61801, -137.53674]), array([246.56637,  -1.56583, 145.06551])]",1.0790526988175977,Standard Deviation
13,"[ 2.40291e+05  1.31204e+05  1.60046e+05  2.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  0.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -2.61800e+03]","[array([-245.48648,    1.58075, -142.42286]), array([-244.71584,    1.60229,  140.41772]), array([-1.9279900e+00,  2.5611558e+02,  2.0140000e-02]), array([ 1.9279900e+00, -2.5611558e+02, -2.0140000e-02]), array([ 244.71584,   -1.60229, -140.41772]), array([245.48648,  -1.58075, 142.42286])]",1.0790526988175977,108885.06405433908
14,"[ 2.40291e+05  1.31204e+05  1.60046e+05  2.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-246.5682 ,    1.44416, -145.06199]), array([-243.68568,    1.50001,  137.53226]), array([-1.9280000e+00,  2.5611558e+02,  4.5800000e-03]), array([ 1.9280000e+00, -2.5611558e+02, -4.5800000e-03]), array([ 243.68568,   -1.50001, -137.53226]), array([246.5682 ,  -1.44416, 145.06199])]",1.0790531532885197,
15,"[ 4.49753e+05  1.31204e+05  1.60046e+05  2.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  2.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.88000e+02 -1.37650e+04]","[array([-336.44787,    1.04356, -148.1737 ]), array([-334.29256,    1.09707,  133.60063]), array([-2.3097100e+00,  2.5609317e+02,  5.0800000e-03]), array([ 2.3097100e+00, -2.5609317e+02, -5.0800000e-03]), array([ 334.29256,   -1.09707, -133.60063]), array([336.44787,  -1.04356, 148.1737 ])]",1.0790531532885197,
16,"[ 2.40291e+05  1.31204e+05  1.60046e+05  2.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.27000e+02 -9.80600e+03]","[array([-246.56821,    1.44331, -145.06197]), array([-243.68567,    1.50085,  137.53229]), array([-1.9279900e+00,  2.5611559e+02,  7.1300000e-03]), array([ 1.9279900e+00, -2.5611559e+02, -7.1300000e-03]), array([ 243.68567,   -1.50085, -137.53229]), array([246.56821,  -1.44331, 145.06197])]",1.0790531532885197,
17,"[ 2.40291e+05  1.31204e+05  1.60046e+05  3.00000e+00  0.00000e+00
  1.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -4.72600e+03]","[array([-201.51476,    0.87669, -284.34785]), array([-198.7334 ,    0.90088,  281.39253]), array([ 198.7334 ,   -0.90088, -281.39253]), array([201.51476,  -0.87669, 284.34785])]",1.0790531532885197,
18,"[ 2.51580e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-150.8681 ,    3.09627,   66.02704]), array([-147.35674,    2.83265,  -86.38665]), array([-1.9450300e+00,  2.5613912e+02,  4.5000000e-03]), array([ 1.9450300e+00, -2.5613912e+02, -4.5000000e-03]), array([147.35674,  -2.83265,  86.38665]), array([150.8681 ,  -3.09627, -66.02704])]",1.0790531532885197,
19,"[ 2.51398e+05  1.03268e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-159.94959,    1.81601, -143.80657]), array([-157.19307,    1.90164,  138.94163]), array([-2.3179300e+00,  2.2720238e+02,  1.2600000e-03]), array([ 2.3179300e+00, -2.2720238e+02, -1.2600000e-03]), array([ 157.19307,   -1.90164, -138.94163]), array([159.94959,  -1.81601, 143.80657])]",1.0790531532885197,
20,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.10000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-159.9497 ,    1.9402 , -143.80316]), array([-157.19315,    2.03694,  138.9375 ]), array([-2.0517900e+00,  2.5613753e+02,  3.9500000e-03]), array([ 2.0517900e+00, -2.5613753e+02, -3.9500000e-03]), array([ 157.19315,   -2.03694, -138.9375 ]), array([159.9497 ,  -1.9402 , 143.80316])]",1.0790531532885197,
