,Cost Function Values,Minima Found,Other Info,Parameters
0,,,Time Taken,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,5.2259098058893585,"[array([-150.33401, -421.8682 , -148.43435]), array([-150.33401, -421.8682 ,  148.43435]), array([-150.33401,  421.8682 , -148.43435]), array([-150.33401,  421.8682 ,  148.43435]), array([ 150.33401, -421.8682 , -148.43435]), array([ 150.33401, -421.8682 ,  148.43435]), array([ 150.33401,  421.8682 , -148.43435])]",729.8372566699982,"[1.68901720e+05 1.11380269e+05 1.36563833e+05 3.73671147e+00
 3.12913771e-01 3.09910907e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
2,5.236387172583235,"[array([-135.9769 ,  -64.83248,  -82.3278 ]), array([-135.9769 ,  -64.83248,   82.3278 ]), array([-135.9769 ,   64.83248,  -82.3278 ]), array([-135.9769 ,   64.83248,   82.3278 ]), array([135.9769 , -64.83248, -82.3278 ]), array([135.9769 , -64.83248,  82.3278 ]), array([135.9769 ,  64.83248, -82.3278 ])]",,"[1.83032816e+05 5.61721944e+04 3.03886051e+04 4.94958363e+00
 6.68199544e+00 2.24175282e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
3,5.24866718635762,"[array([-288.12236, -181.7472 , -119.96928]), array([-288.12236, -181.7472 ,  119.96928]), array([-288.12236,  181.7472 , -119.96928]), array([-288.12236,  181.7472 ,  119.96928]), array([ 288.12236, -181.7472 , -119.96928]), array([ 288.12236, -181.7472 ,  119.96928]), array([ 288.12236,  181.7472 , -119.96928])]",Minimum Cost Function Value,"[1.23858188e+05 1.87023325e+05 1.55232692e+05 7.46003412e-01
 2.83093775e+00 5.39278456e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
4,5.272014503327722,"[array([-113.98666, -453.03492, -193.28205]), array([-113.98666, -453.03492,  193.28205]), array([-113.98666,  453.03492, -193.28205]), array([-113.98666,  453.03492,  193.28205]), array([ 113.98666, -453.03492, -193.28205]), array([ 113.98666, -453.03492,  193.28205]), array([ 113.98666,  453.03492, -193.28205])]",5.2259098058893585,"[1.15333200e+05 9.39334108e+04 1.02593090e+05 4.43829631e+00
 2.28837258e-01 1.37310915e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
5,5.272014503327722,"[array([-185.88711, -138.69146, -273.16696]), array([-185.88711, -138.69146,  273.16696]), array([-185.88711,  138.69146, -273.16696]), array([-185.88711,  138.69146,  273.16696]), array([ 185.88711, -138.69146, -273.16696]), array([ 185.88711, -138.69146,  273.16696]), array([ 185.88711,  138.69146, -273.16696])]",,"[1.77604291e+05 1.13666600e+05 9.81910719e+04 2.56995144e+00
 2.95463213e+00 6.57939052e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
6,5.293523545676972,"[array([ -96.60346, -112.592  ,  -96.84081]), array([ -96.60346, -112.592  ,   96.84081]), array([-96.60346, 112.592  , -96.84081]), array([-96.60346, 112.592  ,  96.84081]), array([  96.60346, -112.592  ,  -96.84081]), array([  96.60346, -112.592  ,   96.84081]), array([ 96.60346, 112.592  , -96.84081]), array([ 96.60346, 112.592  ,  96.84081])]",Average of this generation,"[1.22680792e+05 1.67518530e+05 1.13857178e+05 6.57296300e+00
 6.60720509e+00 6.07034861e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
7,5.293523545676972,"[array([-129.4311 ,  -70.17657, -142.71874]), array([-129.4311 ,  -70.17657,  142.71874]), array([-129.4311 ,   70.17657, -142.71874]), array([-129.4311 ,   70.17657,  142.71874]), array([ 129.4311 ,  -70.17657, -142.71874]), array([129.4311 , -70.17657, 142.71874]), array([ 129.4311 ,   70.17657, -142.71874])]",10005.376552977477,"[1.45584680e+05 5.52859542e+04 1.46931178e+05 4.34518616e+00
 5.61307094e+00 3.60679891e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
8,5.317055192435547,"[array([ -68.02679, -183.13066, -119.70504]), array([ -68.02679, -183.13066,  119.70504]), array([ -68.02679,  183.13066, -119.70504]), array([-68.02679, 183.13066, 119.70504]), array([  68.02679, -183.13066, -119.70504]), array([  68.02679, -183.13066,  119.70504]), array([  68.02679,  183.13066, -119.70504])]",,"[2.91895063e+04 1.62775977e+05 1.24934575e+05 3.15381903e+00
 2.42682358e+00 4.35941045e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
9,5.317055192435547,"[array([-809.63222, -149.41633,  -70.14523]), array([-809.63222, -149.41633,   70.14523]), array([-809.63222,  149.41633,  -70.14523]), array([-809.63222,  149.41633,   70.14523]), array([ 809.63222, -149.41633,  -70.14523]), array([ 809.63222, -149.41633,   70.14523]), array([809.63222, 149.41633, -70.14523])]",Change in Average,"[1.94563460e+05 9.45133759e+04 4.96881440e+04 1.48407456e-01
 2.11673830e+00 5.04924485e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
