,Roots,Accuracy,Paths,Other Info
0,"[(1.0238196773411976-1.8220683411351155j), (-0.5499045246667977-0.8226523202101673j), (1.1558086235268348-0.47892291093940403j)]","[4.965068306494546e-16, 1.1102230246251565e-15, 6.280369834735101e-16]",-,Function Used
1,"[(1.0238196773411976-1.8220683411351155j), (-0.5499045246667977-0.8226523202101674j), (-0.16314490443550148+1.2404210853570654j)]","[1.3506446028928519e-15, 1.5543122344752192e-15, 2.220446049250313e-16]",-,x**2*y + x**2 + y**3 + 3.14159265358979
2,"[(1.0238196773411976-1.8220683411351155j), (-0.5499045246667977-0.8226523202101673j), (-0.9926637190913336-0.7614981744176614j)]","[4.965068306494546e-16, 1.1102230246251565e-15, 1.1102230246251565e-16]",-,x**3 - 2*x*y + 5
3,"[(0.6525241170243281-0.8941243658069745j), (1.1445790586816962+1.240939370556407j), (1.5704693214861725-0.8512019472701742j)]","[8.005932084973442e-16, 5.551115123125783e-17, 0.0]",-,2*y**2 + z**3
4,"[(0.6525241170243281-0.8941243658069745j), (1.1445790586816962+1.240939370556407j), (-0.048072150656333246+1.785667301906223j)]","[8.005932084973442e-16, 5.551115123125783e-17, 8.95090418262362e-16]",-,
5,"[(0.6525241170243281-0.8941243658069745j), (1.1445790586816962+1.240939370556407j), (-1.5223971708298394-0.9344653546360489j)]","[8.005932084973442e-16, 5.551115123125783e-17, 8.881784197001252e-16]",-,Time Taken
6,"[(0.6604488109402712-2.2085537897581045j), (-1.910041192632427-0.4195915967223497j), (1.2200537265507172-1.5470845691501767j)]","[1.7763568394002505e-15, 1.2560739669470201e-15, 1.9860273225978185e-15]",-,3.128084659576416
7,"[(0.6604488109402712-2.2085537897581045j), (-1.910041192632427-0.4195915967223497j), (0.7297876754115975+1.8301398057498826j)]","[1.7763568394002505e-15, 1.2560739669470201e-15, 1.7763568394002505e-15]",-,
8,"[(0.6604488109402712-2.2085537897581045j), (-1.910041192632427-0.4195915967223497j), (-1.9498414019623147-0.2830552365997056j)]","[1.7763568394002505e-15, 1.2560739669470201e-15, 1.9860273225978185e-15]",-,Root Finding Method Used
9,"[(0.6525241170243281+0.8941243658069745j), (1.1445790586816962-1.240939370556407j), (-0.048072150656333246-1.785667301906223j)]","[8.005932084973442e-16, 5.551115123125783e-17, 8.95090418262362e-16]",-,Newton-Raphson with 100 steps.
10,"[(0.6525241170243281+0.8941243658069745j), (1.1445790586816962-1.240939370556407j), (1.5704693214861725+0.8512019472701742j)]","[8.005932084973442e-16, 5.551115123125783e-17, 0.0]",-,
