,Accuracy,Other Info,Paths,Real Roots,Roots,Unique Roots
0,"[1.862645149230957e-08, 1.4725502860585132e-09, 3.0790257097797695e-08]",Function Used,-,[0 0 0],"[9.4039548065783e-38j, (2.350988701644575e-38-9.4039548065783e-38j), (5.877471754111438e-39+1.1754943508222875e-38j)]",[-209.15621-148.32643j   19.60128  -2.33342j -102.72052 +48.10103j]
1,"[3.725290298461914e-09, 4.656612873077393e-10, 1.542239409821953e-08]",20.0*x*z**2 - 52414.0*x + 8223.0*y - 512564.0*z,-,,"[(13.942243453128054-260.5783935505162j), (251.25310712980408-36.72415226691244j), (-10.446784173336587+54.196218126440584j)]",[-209.15621+148.32643j   19.60128  +2.33342j -102.72052 -48.10103j]
2,"[2.08250058582033e-09, 1.9199706733309015e-09, 3.725290298461914e-09]",8223.0*x - 16.0*y*z**2 - 50346.0*y - 47910.0*z,-,,"[(-7.1490519535654195e-31-1.2818989709841442e-30j), -7.888609052210118e-31j, 4.930380657631324e-32j]",[ -13.94224-260.57839j -251.25311 -36.72415j   10.44678 +54.19622j]
3,"[3.839941346661803e-09, 1.9199706733309015e-09, 3.76696668866215e-08]",20.0*x**2*z - 512564.0*x - 16.0*y**2*z - 47910.0*y + 24.0*z**3 - 62756.0*z,-,,"[(209.15620551405814+148.3264277120791j), (-19.60128041530988+2.3334213052915995j), (102.72051640468446-48.10102694019832j)]",[ -13.94224+260.57839j -251.25311 +36.72415j   10.44678 -54.19622j]
4,"[1.2211911575080703e-24, 1.862645149230957e-09, 3.725290298461914e-09]",,-,,"[(4.6838616247497576e-30-205.3702759204391j), (-2.9582283945787943e-31+64.42724281752375j), (-3.821045009664276e-31+96.21028293724378j)]",[ 0.-205.37028j -0. +64.42724j -0. +96.21028j]
5,"[1.2061550332407068e-32, 5.157146611927986e-33, 4.445869539103102e-32]",Time Taken,-,,"[(-1.9721522630525295e-31-3.944304526105059e-31j), (1.9721522630525295e-31-1.9721522630525295e-31j), (6.162975822039155e-33+4.930380657631324e-32j)]",[0.+0.j 0.-0.j 0.+0.j]
6,"[4.432426752302436e-25, 5.993289828423405e-26, 9.313225746154785e-10]",41.57677984237671,-,,"[(-3.155443620884047e-29-5.587411658159029e-30j), (-7.888609052210118e-31-1.3273268435473781e-30j), (-1.5777218104420236e-30-3.1429972986184447e-31j)]",[0.+205.37028j 0. -64.42724j 0. -96.21028j]
7,"[3.725290298461914e-09, 3.839941346661803e-09, 1.501712528671799e-08]",,-,,"[(-13.942243453128043-260.5783935505162j), (-251.2531071298041-36.72415226691241j), (10.446784173336585+54.196218126440584j)]",[ 13.94224-260.57839j 251.25311 -36.72415j -10.44678 +54.19622j]
8,"[2.08250058582033e-09, 1.9199706733309015e-09, 0.0]",Root Finding Method Used,-,,"[-3.851859888774472e-34j, (-3.851859888774472e-34+0j), (-2.407412430484045e-35-4.81482486096809e-35j)]",[ 13.94224+260.57839j 251.25311 +36.72415j -10.44678 -54.19622j]
9,"[1.4901161193847656e-08, 6.585445079827193e-10, 1.1993038426827382e-08]",Newton-Raphson with 15 steps.,-,,"[(13.942243453128043+260.5783935505162j), (251.2531071298041+36.724152266912405j), (-10.446784173336583-54.196218126440584j)]",[209.15621-148.32643j -19.60128  -2.33342j 102.72052 +48.10103j]
