,Accuracy,Other Info,Paths,Real Roots,Roots,Unique Roots
0,"[2.9802322387695312e-08, 2.9802322387695312e-08, 1.4901161193847656e-08]",Function Used,-,[-119.55956  -65.56005  -77.7281 ],"[(1.504632769052528e-36-1.504632769052528e-36j), (-1.88079096131566e-37+2.82118644197349e-37j), (-4.70197740328915e-38+1.1754943508222875e-37j)]",[-427.48901-122.34672j    3.92504-266.06495j -171.64529+232.4738j ]
1,"[6.006850114687196e-08, 2.9802322387695312e-08, 1.2731557704981462e-07]",4*x**3 + 6.74318530717959*x*y**2 + 5.7*x*z**2 - 20000.0*x - 40000.0*y - 121000.0*z,-,[-20.29802 166.36403 -91.17408],"[(-108.92924131551813+111.23035675179695j), (139.65735903408606+159.98681551445532j), (-212.21505881758983+75.15910681312096j)]",[-427.48901+122.34672j    3.92504+266.06495j -171.64529-232.4738j ]
2,"[5.960464477539063e-08, 8.429369702178807e-08, 1.228781230931777e-07]",6.74318530717959*x**2*y - 40000.0*x + 8*y**3 + 8.56637061435917*y*z**2 - 240000.0*y + 110000.0*z,-,[0. 0. 0.],"[(427.4890139169725+122.3467218794049j), (-3.9250420294535373+266.064947656982j), (171.64529006546942-232.47380028803514j)]",[-339.19427 -68.55266j -110.34999+367.68157j  257.04809+102.28612j]
3,"[6.664001874625056e-08, 2.384185791015625e-07, 1.1920928955078125e-07]",5.7*x**2*z - 121000.0*x + 8.56637061435917*y**2*z + 110000.0*y + 5.8*z**3 - 60000.0*z,-,[  20.29802 -166.36403   91.17408],"[(119.55955525097683-6.0766941605306066e-30j), (65.56005054736613-4.461994495156348e-30j), (77.72810029403983-6.840903162463462e-31j)]",[-339.19427 +68.55266j -110.34999-367.68157j  257.04809-102.28612j]
4,"[7.450580596923828e-09, 2.9802322387695312e-08, 6.664001874625056e-08]",,-,[119.55956  65.56005  77.7281 ],"[(-319.06294707656144+328.8008030759486j), (-130.50240412793545-146.4912010280747j), (-260.3380167145731-232.7159026344141j)]",[-319.32177-229.81876j  105.01284+182.72281j -289.39847+297.32694j]
5,"[4.2146848510894035e-08, 5.960464477539063e-08, 8.940696716308594e-08]",Time Taken,-,,"[(319.06294707656144+328.8008030759485j), (130.50240412793542-146.49120102807476j), (260.3380167145731-232.71590263441405j)]",[-319.32177+229.81876j  105.01284-182.72281j -289.39847-297.32694j]
6,"[5.3726900748371916e-08, 5.960464477539063e-08, 5.960464477539063e-08]",13.345201253890991,-,,"[(20.298015454576717-4.067564042545842e-31j), (-166.36403476891462-2.871946733070246e-30j), (91.17407942398117-8.936314941956774e-31j)]",[-319.06295-328.8008j -130.5024 +146.4912j -260.33802+232.7159j]
7,"[8.024520884654677e-08, 5.960464477539063e-08, 8.429369702178807e-08]",,-,,"[(339.19427016076907+68.5526585583101j), (110.34998916601802-367.68157136476964j), (-257.04808806313423-102.28611630303728j)]",[-319.06295+328.8008j -130.5024 -146.4912j -260.33802-232.7159j]
8,"[9.313225746154785e-10, 9.313225746154785e-10, 2.7939677238464355e-09]",Root Finding Method Used,-,,"[(319.3217709693354+229.81875973761208j), (-105.01284140412862-182.72281373866753j), (289.3984710264186-297.3269397525869j)]",[-119.55956-0.j  -65.56005+0.j  -77.7281 +0.j]
9,"[1.5359765386647212e-08, 8.33000234328132e-09, 4.16500117164066e-08]",Newton-Raphson with 50 steps.,-,,"[(-339.194270160769-68.55265855831016j), (-110.349989166018+367.6815713647696j), (257.0480880631342+102.2861163030372j)]",[-108.92924-111.23036j  139.65736-159.98682j -212.21506 -75.15911j]
10,"[1.4901161193847656e-08, 2.499000702984396e-08, 1.1780402288468106e-08]",,-,,"[(-319.0629470765615-328.80080307594847j), (-130.50240412793536+146.49120102807478j), (-260.3380167145731+232.7159026344141j)]",[-108.92924+111.23036j  139.65736+159.98682j -212.21506 +75.15911j]
11,"[4.656612873077393e-10, 2.3283064365386963e-10, 1.57160684466362e-09]",Worst Accuracy,-,,"[(-427.48901391697274+122.34672187940494j), (3.9250420294534636+266.06494765698204j), (-171.6452900654695-232.47380028803536j)]",[-20.29802-0.j 166.36403+0.j -91.17408-0.j]
12,"[5.820766091346741e-10, 1.3969838619232178e-09, 1.862645149230957e-09]",2.384185791015625e-07,-,,"[(-319.32177096933543-229.81875973761203j), (105.0128414041287+182.72281373866767j), (-289.39847102641863+297.32693975258695j)]",[-0.-104.28247j -0. +35.9828j   0. +91.34381j]
13,"[1.7491561334547992e-32, 2.0929081898506448e-32, 2.870957788312989e-31]",,-,,"[(9.4039548065783e-37-1.128474576789396e-36j), 0j, (-7.052966104933725e-38+0j)]",[ 0.-0.j -0.+0.j -0.+0.j]
14,"[5.820766091346741e-10, 1.3969838619232178e-09, 1.862645149230957e-09]",Number of Homotopy Steps,-,,"[(-339.1942701607691+68.55265855831004j), (-110.34998916601806-367.68157136476964j), (257.04808806313423-102.28611630303736j)]",[ 0.+104.28247j  0. -35.9828j  -0. -91.34381j]
15,"[9.313225746154785e-10, 6.28642737865448e-09, 6.111804395914078e-09]",5,-,,"[(-427.48901391697245-122.34672187940477j), (3.925042029453451-266.06494765698193j), (-171.64529006546937+232.47380028803508j)]",[  20.29802-0.j -166.36403-0.j   91.17408-0.j]
16,"[8.33000234328132e-09, 3.514431838712321e-08, 1.13300281209838e-08]",,-,,"[(-319.32177096933526+229.81875973761208j), (105.01284140412874-182.72281373866778j), (-289.39847102641875-297.32693975258684j)]",[ 108.92924-111.23036j -139.65736-159.98682j  212.21506 -75.15911j]
17,"[1.3969838619232178e-09, 2.7939677238464355e-09, 3.725290298461914e-09]",Number of Roots Found,-,,"[(1.0846837446788912e-30+104.28246891149875j), (2.341930812374879e-31-35.98280282762135j), (-9.860761315262648e-32-91.34381143865977j)]",[119.55956-0.j  65.56005-0.j  77.7281 -0.j]
18,"[3.332000937312528e-08, 6.664001874625056e-08, 0.0]",27,-,,"[(319.3217709693351-229.81875973761194j), (-105.01284140412872+182.7228137386679j), (289.39847102641875+297.32693975258667j)]",[319.06295-328.8008j 130.5024 +146.4912j 260.33802+232.7159j]
19,"[1.0745380149674383e-07, 5.960464477539063e-08, 0.0]",,-,,"[(339.1942701607691-68.5526585583101j), (110.34998916601803+367.68157136476975j), (-257.04808806313434+102.28611630303728j)]",[319.06295+328.8008j 130.5024 -146.4912j 260.33802-232.7159j]
20,"[8.33000234328132e-08, 1.0745380149674383e-07, 1.884864366154897e-07]",Number of Unique Roots,-,,"[(-20.298015454576728-7.395570986446986e-32j), (166.36403476891462+8.258387601532467e-31j), (-91.17407942398118-1.3250398017384183e-30j)]",[ 319.32177-229.81876j -105.01284+182.72281j  289.39847+297.32694j]
21,"[3.725290298461914e-08, 6.664001874625056e-08, 8.429369702178807e-08]",26,-,,"[(319.0629470765615-328.8008030759486j), (130.50240412793545+146.49120102807476j), (260.33801671457314+232.71590263441408j)]",[ 319.32177+229.81876j -105.01284-182.72281j  289.39847-297.32694j]
22,"[6.664001874625056e-08, 1.0745380149674383e-07, 5.3726900748371916e-08]",,-,,"[(-6.656013887802287e-31-104.28246891149875j), (-6.162975822039155e-32+35.98280282762135j), (1.4791141972893971e-31+91.34381143865977j)]",[ 339.19427 -68.55266j  110.34999+367.68157j -257.04809+102.28612j]
23,"[6.664001874625056e-08, 8.940696716308594e-08, 9.424321830774485e-08]",,-,,"[(-119.55955525097681-2.749919811793871e-29j), (-65.56005054736615+2.2778358638256716e-29j), (-77.72810029403983+2.0214560696288428e-30j)]",[ 339.19427 +68.55266j  110.34999-367.68157j -257.04809-102.28612j]
24,"[1.592752212765213e-07, 8.429369702178807e-08, 1.4901161193847656e-08]",,-,,"[(427.4890139169727-122.3467218794046j), (-3.92504202945342-266.06494765698204j), (171.64529006546914+232.47380028803516j)]",[427.48901-122.34672j  -3.92504-266.06495j 171.64529+232.4738j ]
25,"[5.3726900748371916e-08, 6.664001874625056e-08, 6.664001874625056e-08]",,-,,"[(-108.92924131551814-111.23035675179688j), (139.65735903408597-159.98681551445526j), (-212.21505881758978-75.1591068131209j)]",[427.48901+122.34672j  -3.92504+266.06495j 171.64529-232.4738j ]
26,,,,,"[(108.92924131551814-111.23035675179686j), (-139.657359034086-159.9868155144553j), (212.21505881758978-75.15910681312094j)]",
