,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
0,0,0,Time Taken,"[-499.6748310628136, 420.3211005637986, -6948.772767295463, 3.7329812366564283, 1.0497417251993768, 2.630942530745906, -11.524016659254405, -0.32478477561463404, 10.024857898696702, 8.379310191993273, -12.056750408051105, -0.36193981963082855, -109080.66292447556, -62315.49422747914, -384532.8030001167]"
1,"[array([801821.21201157, 201967.35324764, 402434.73048115])]","[array([125.12047,  -8.05022, 104.71919])]",25888.06716609001,"[-3826.9324755198086, -239.35978887920464, -8123.166167083482, 1.6609597852789557, 5.830569729341153, 3.7698821392383564, 9.486332762384112, -3.1625681159210757, 11.299050140373918, 9.052860796756761, 4.06141427235838, -11.92846898362748, -83433.42735218303, 145979.3322638122, -126209.28803159366]"
2,"[array([551884.21150696, 280437.3226216 , 123905.72726986]), array([551884.21150696, 280437.3226216 , 123905.72726986])]","[array([-80.18134,  44.63944, -79.74407]), array([ 80.18134, -44.63944,  79.74407])]",,"[-2179.9842291308714, -8922.812371451317, -1301.5761665034825, 3.0620401801014725, 1.5534611591774743, 5.993646416472697, -0.05726135317832082, 4.37741447345274, 10.660000620616643, 0.47719509260852, 2.2582430263693887, -7.424357100308992, -51688.733662131504, 119158.10338550055, -155554.2626990329]"
3,"[array([537203.73830096, 359743.35860049, 239393.11575135]), array([537203.73830096, 359743.35860049, 239393.11575135])]","[array([-84.83479, -96.53361,  59.83705]), array([ 84.83479,  96.53361, -59.83705])]",,"[-9444.513153988548, 8470.242526736223, -6968.708297893811, 4.136257357475069, 3.4009197268406086, 5.274549821962457, 10.430772025605805, 6.756358702994044, -1.937814070353924, -8.005092362817983, 1.3900442729875984, -4.278256218733077, -143277.92773133042, 124488.8552864872, -34562.05331196607]"
4,0,0,,"[2331.1127371766943, -6236.634701586743, -8455.697836941905, 0.6520764536760146, 4.818045049805131, 1.5617437890402215, 5.397221759799063, -5.719865441482977, 12.099309052886962, 1.6997333396397423, -0.16646177182053812, -5.744134367409455, 112338.01672676968, 135941.98028924706, -399451.5277206952]"
5,"[array([ 483594.99667897,  857727.91594953, 1633263.38990133]), array([ 483594.99667897,  857727.91594953, 1633263.38990133])]","[array([-245.94516,  -14.15322, -218.19518]), array([245.94516,  14.15322, 218.19518])]",,"[4071.2216208072896, 353.5900478526419, -539.1923764287949, 0.8798321794468885, 5.810473867105175, 1.2900610898663418, -0.03852437756885152, 8.976456601975535, -1.421101747612922, 0.5596728449123258, 6.6875391286781465, 1.5676980928255446, -95199.97792634187, 6215.786659130274, -240570.97012581845]"
6,"[array([ 82559.78179614, 491843.87078724, 913573.70357883]), array([ 82559.78179614, 491843.87078724, 913573.70357883])]","[array([-104.6487 , -152.94856, -112.80056]), array([104.6487 , 152.94856, 112.80056])]",,"[-2912.336638523001, -6315.114002011631, 6780.2527074429745, 0.744255923472387, 0.5845815484366891, 5.352000049509767, -8.308366042994852, 8.827667554408176, 11.654257268073852, 11.608741420369213, -10.543396704744147, -5.292717151654236, -65119.67982396511, -69695.98216096108, -240795.67097106396]"
7,0,0,,"[9645.879850891895, 9356.021263824972, -7012.315475278268, 5.184596620230387, 1.8235966844224445, 1.8073705704001162, 1.5870276950953013, 4.484214485975537, 6.980648679523041, -9.092056805341098, 6.6651782485134845, -1.2902162425663963, 12958.039814366552, -98027.97394523333, -186688.0683257848]"
8,0,0,,"[5821.509090742904, -394.04938083846173, -9338.150700689685, 0.41112287543459214, 0.135697031116775, 5.582479472297651, -9.859567588199457, -6.992596794091577, 0.15949668046914667, -0.4573397992891177, -10.551074332909678, 0.2870267967235396, -32744.530101855227, 89415.92631673659, -234752.50063891485]"
9,"[array([ 87388.00990518, 291458.39252246, 158259.53793385]), array([ 87388.00990518, 291458.39252246, 158259.53793385])]","[array([-46.09076,  62.36378, -58.83688]), array([ 46.09076, -62.36378,  58.83688])]",,"[-2699.6726516532462, -355.3464244557508, 4466.221618685786, 3.106972981148156, 2.6672306875633502, 5.865579547952077, 9.98703363747276, -1.3241570083296974, -5.2694747330882805, -11.683698288487028, 7.067377374655326, 7.824680569690681, -12980.162169396062, 89409.14033359662, -42189.915584033995]"
