,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
0,"[-4280.4110665579965, 1394.1259936657243, -4676.011682654697, 2.346728680128565, 0.8269410094391685, 2.539678084015499, 11.96838186524602, 7.923362755243472, 8.470572094061037, -8.142760196275582, -1.9863131657741917, -6.726000806217837, -79270.42774395109, 40761.419844518445, -205200.6314735147]","[array([-124.78633,  -17.82533, -118.46342]), array([124.78633,  17.82533, 118.46342])]","[array([626335.25896951, 401501.71790181, 251917.95488354]), array([626335.25896951, 401501.71790181, 251917.95488354])]",Time Taken
1,"[-4002.851765566702, 3513.857474581806, -3988.521890566266, 2.0471370654069796, 4.879729108959597, 5.308339422898104, 7.612045011041051, 11.210749355585563, 10.267860494646602, -1.4434114586637392, -5.809490095357784, 1.2807316089546852, -97514.99577188215, -110209.5291601294, -334332.7677229347]","[array([-107.00324,  -66.27789,  -88.5626 ])]","[array([856344.0533915 , 551194.01795424, 412780.47987974])]",3687.414139032364
2,"[-2812.541445073478, -7950.494842920198, 4746.020217300234, 5.790926901233275, 5.910973377167723, 0.3473034751068982, 10.136468577143319, 0.15582954810509797, -6.848175131939484, 6.79180761441026, 5.156319918168414, 2.3218972581537223, -6009.205689943221, -64443.63001708349, -42320.330548876955]",0,0,
3,"[5898.864413532023, -175.28277556992725, -287.0402141182676, 1.046692025999107, 1.9429030700473864, 3.509853725151994, -4.3256366664435575, -2.012476655377653, 2.6356904908246914, -1.5255351958505248, 4.246793908444424, -10.567779060537736, 85639.2566052216, 124043.53065182903, -60310.81703574158]",0,0,
4,"[-3485.0077150202314, -2848.0459632274124, 6836.822936424996, 3.7607284709541573, 3.0055664676729124, 3.5069827048842317, 5.329081744961059, 5.466348244603115, 10.678046834779089, 11.655396964985872, -0.5815661394817386, -12.494095263623825, -110067.6164229476, -63555.564460643815, -250237.757860304]","[array([-149.72724,  -26.0581 , -155.64456])]","[array([ 495392.15854024, 1391025.19996773, 1026742.40537721])]",
5,"[2354.4779060178917, 4435.44231366134, -9186.412399280385, 0.22075183454546007, 4.658023966119798, 4.053524700647184, -1.5676427783683113, -5.434165787491908, -1.3394243862248425, -1.2618094752575697, -12.530964173623675, -1.829781240880882, -142018.59384459493, 131376.021320751, -246710.32684080387]",0,0,
6,"[8411.927976732935, -3726.5707063667805, 8891.59754228967, 2.819551911488016, 1.7450776780716792, 3.235111200029143, 0.315454047223664, 1.6445906384958917, -7.721124811706574, 9.642173770575344, 4.027252262316512, -9.837476636550807, 107010.87410349835, 116473.0521893187, -109406.56157993717]",0,0,
7,"[-5973.043165391642, 75.69171086557981, 1506.083814133095, 0.6917785660692918, 2.4739017568766104, 5.399744340897511, -9.998265984391821, -4.97994957240971, 2.2503362079794798, 2.562935716141734, -11.426063681710284, -7.822937267086511, 44802.28742272072, 134683.24328802916, -33063.804003587575]",0,0,
8,"[-3135.358639673238, -38.977148060492254, 2533.4437501096745, 1.0065165979816282, 3.201343080868098, 4.189175477289652, 12.259242013031177, 11.29278461844093, 6.368673398480778, -7.484386467365563, 4.173348133452933, -7.454806984623369, -88880.59315087635, -27060.815105930233, -187798.29242842644]","[array([-209.29803,  -20.75872, -146.41015])]","[array([ 329884.96969211,  977603.95182025, 1274143.30980785])]",
9,"[-2554.486978554697, -6530.927147356955, 1151.0988571167472, 5.655272391269668, 4.860841013026347, 0.8100352801695624, 3.9480417353976343, 2.6766070909621753, -3.7049343926747813, -4.297616949775682, -10.750890850380634, 2.456104875807025, 95263.73343656058, 50655.89814510077, -320272.0991852763]",0,0,
