0.3861242280141724 + 4.091622879771145im,3.5207329883211265 + 0.006885685212690853im,0.6239666395052744 - 0.058883392742941944im,6.656510418469912 - 4.86381975216195im
-0.045893575314292674 - 1.1988710565800877e-6im,3.556897894812962 + 2.398246478368321e-10im,1.828261221416025e-7 - 0.006998704622881351im,1.6506664696146922 - 0.0005693828297533072im
0.3861242280141723 - 4.091622879771146im,3.5207329883211265 - 0.006885685212690853im,0.6239666395052745 + 0.05888339274294193im,6.656510418469913 + 4.863819752161952im
2.574412503345289 + 1.3940310981007091im,-1.7784466522450313 + 3.0803599602391727im,-1.889216119519251e-33 + 3.273731358973749e-32im,2.312111527821172 + 6.176936062385367im
-2.447369334036911 - 2.018718205480991im,-1.7618832103776878 + 3.0659792018889775im,0.30785164024025236 - 0.37322032451648773im,7.21669733924839 + 1.2679457672468348im
0.02543614684192217 - 0.047632605311612175im,-1.7784494584600983 + 3.080365661949516im,0.007263904211238088 + 0.0038789760281633286im,1.346987815182369 + 1.106064315529699im
0.02543614684192217 + 0.04763260531161218im,-1.7784494584600985 - 3.0803656619495157im,0.0072639042112380885 - 0.003878976028163329im,1.3469878151823693 - 1.106064315529699im
-2.4981971970233734 + 1.9793911545276912im,-1.7784466522450313 - 3.0803599602391727im,4.489905781976798e-33 - 2.622373417587271e-33im,6.616476954666967 - 1.5028528460355033im
3.0405665777910253 - 2.384853993590539im,-1.7549515775625797 - 3.057841996294624im,0.3636868244745599 + 0.46368205611423174im,4.114295404914185 + 5.8402508279249465im
0.2405411510401323 + 4.018697691901022im,3.5218231400210716 + 0.004213098386892787im,-0.6128456526138439 + 0.03668218163977931im,5.856147014136312 - 2.8762628813907694im
-0.045893575314292674 + 1.1988710565800872e-6im,3.5568978948129626 - 2.3982464783683196e-10im,1.8282612214160246e-7 + 0.00699870462288135im,1.6506664696146924 + 0.000569382829753307im
0.31467087972208685 - 4.088655333527447im,3.5568933044900626 - 1.330858131146018e-31im,-5.15223227584209e-32 - 7.783548086789358e-33im,6.294319074176698 + 3.8521747461149447im
2.5956484402863653 + 1.4285173510456166im,-1.769567892253602 + 3.0634142928191896im,-0.21784685372977605 + 0.39583267622972584im,2.181402106607557 + 5.61535625892671im
