,All eigenvalues Square,Minima,Other Info,Ratio of Hierachy,Real Roots
0,[-792778.55024911  954655.61983118  725686.4598373 ],0,Cost Function Min,Ratio of V3 to V2,[-264.95456   36.55153 -462.08092]
1,[-407672.54626786  162502.37786614  314957.10800328],,1000000.0,0,[ -72.72178 -112.15497   36.65123]
2,[-378881.97872434  107075.7722873  -126190.8203794 ],,,,[0. 0. 0.]
3,[-407672.54626786  162502.37786614  314957.10800328],,Global Minima,Ratio of V2 to V1,[ 72.72178 112.15497 -36.65123]
4,[-792778.55024911  954655.61983118  725686.4598373 ],,0,0,[264.95456 -36.55153 462.08092]
5,,,,,
6,,,Time Taken,Ratio of V3 to V1,
7,,,8.9822838306427,0,
8,,,,,
9,,,Number of Real Roots Found,,
10,,,5,,
11,,,,,
12,,,Exact Minima,,
13,,,0,,
14,,,,,
15,,,Eigenvalue Squared,,
16,,,0,,
17,,,,,
18,,,Sum Squared Minima,,
19,,,0,,
