,Accuracy,Other Info,Paths,Real Roots,Roots,Unique Roots
0,"[2.2351741790771484e-08, 3.1828894262453654e-08, 8.33000234328132e-09]",Function Used,-,[-264.95456   36.55153 -462.08092],"[(322.9326135082907-17.506357405954574j), (33.052200186761006+105.13954288974752j), (408.12006440618785+30.1990636609126j)]",[-322.93261 -17.50636j  -33.0522 +105.13954j -408.12006 +30.19906j]
1,"[0.0, 0.0, 5.268356063861754e-09]",3.58694715620186*x**3 + 13.6912634730722*x*y**2 + 0.659763454005891*x*z**2 - 98637.350928417*x - 122270.743044726*y - 188761.950907596*z,-,[ -72.72178 -112.15497   36.65123],"[(1.9721522630525295e-31+26.535282474029003j), (-4.535950205020818e-30+203.22548863899894j), (2.5637979419682884e-30-230.26764064725242j)]",[-322.93261 +17.50636j  -33.0522 -105.13954j -408.12006 -30.19906j]
2,"[1.5832483768463135e-08, 7.450580596923828e-09, 2.7939677238464355e-09]",13.6912634730722*x**2*y - 122270.743044726*x + 6.86456836371372*y**3 - 7.3975432238977*y*z**2 - 64026.9497977756*y + 16855.4332941429*z,-,[0. 0. 0.],"[(128.9500681042176+25.388561039026357j), (-16.812376851507228+115.57689674670922j), (-135.53381915698154-110.73194868747458j)]",[-264.95456-0.j   36.55153-0.j -462.08092-0.j]
3,"[9.38353712269414e-09, 3.725290298461914e-09, 2.4094614601970015e-08]",0.659763454005891*x**2*z - 188761.950907596*x - 7.3975432238977*y**2*z + 16855.4332941429*y + 1.44468922554708*z**3 - 235332.726090241*z,-,[ 72.72178 112.15497 -36.65123],"[(264.9545564054208-1.9721522630525295e-30j), (-36.55152597313402+1.1185801117001066e-30j), (462.0809160132794+2.9582283945787943e-31j)]",[-194.14712-243.56182j   -2.44555 +15.06449j  412.21106-159.8328j ]
4,"[3.183102315732273e-08, 1.862645149230957e-09, 3.850726036995881e-08]",,-,[264.95456 -36.55153 462.08092],"[(9.860761315262648e-31+112.17634715547511j), (3.1554436208840472e-30-157.20746891806164j), (7.099748146989106e-30-200.44675532896753j)]",[-194.14712+243.56182j   -2.44555 -15.06449j  412.21106+159.8328j ]
5,"[4.16500117164066e-09, 9.313225746154785e-09, 5.587935447692871e-09]",Time Taken,-,,"[(194.1471187567816-243.5618175642165j), (2.4455454649224477+15.064494812589436j), (-412.2110597564458-159.83280280077312j)]",[-128.95007 -25.38856j   16.81238-115.5769j   135.53382+110.73195j]
6,"[5.268356063861754e-09, 2.3283064365386963e-09, 3.725290298461914e-09]",8.841652870178223,-,,"[(322.9326135082907+17.506357405954567j), (33.05220018676101-105.1395428897475j), (408.12006440618785-30.199063660912593j)]",[-128.95007 +25.38856j   16.81238+115.5769j   135.53382-110.73195j]
7,"[1.1175870895385742e-08, 8.586369880747876e-09, 2.3283064365386963e-09]",,-,,"[(128.95006810421756-25.388561039026364j), (-16.812376851507228-115.57689674670922j), (-135.53381915698154+110.7319486874746j)]",[-100.63901-102.82308j -100.87445 +96.35717j   11.26667 +90.01493j]
8,"[5.268356063861754e-09, 5.6650140604919e-09, 3.259629011154175e-09]",Root Finding Method Used,-,,"[(100.6390099496505+102.82308035931003j), (100.8744528115534-96.35716895068747j), (-11.266671573764517-90.01492666663664j)]",[-100.63901+102.82308j -100.87445 -96.35717j   11.26667 -90.01493j]
9,"[1.862645149230957e-09, 1.862645149230957e-09, 9.313225746154785e-10]",Newton-Raphson with 50 steps.,-,,"[(-100.6390099496505-102.82308035931001j), (-100.87445281155341+96.35716895068747j), (11.26667157376451+90.01492666663663j)]",[ -72.72178+0.j -112.15497-0.j   36.65123-0.j]
