,Real Roots,All eigenvalues Square,Minima,Eigenvalues of minima,Ratio of roots,Sum Square Root,Other Info
0,[-119.55956  -65.56005  -77.7281 ],[-135365.259289    218760.57959491  306282.06930601],[-20.29802 166.36403 -91.17408],[313.27257231 597.32351285 765.7280164 ],2.9430972085400207,190.7923293992914,Cost Function Min
1,[-20.29802 166.36403 -91.17408],[ 98139.70456168 356795.37900908 586339.39510542],[  20.29802 -166.36403   91.17408],[313.27257231 597.32351285 765.7280164 ],2.9430972085400207,190.7923293992914,8.622516174808219
2,[0. 0. 0.],[ 112970.74027457 -139713.69282442 -293257.04745015],,,,,
3,[  20.29802 -166.36403   91.17408],[ 98139.70456168 356795.37900908 586339.39510542],,,,,Global Minima
4,[119.55956  65.56005  77.7281 ],[-135365.259289    218760.57959491  306282.06930601],,,,,[-20.29802 166.36403 -91.17408]
5,,,,,,,
6,,,,,,,Time Taken
7,,,,,,,6.832850694656372
8,,,,,,,
9,,,,,,,Number of Real Roots Found
10,,,,,,,5
11,,,,,,,
12,,,,,,,Number of Minima
13,,,,,,,2
