,Roots,Unique Roots,Real Roots,Accuracy,Paths,Other Info
0,"[(-7.52316384526264e-37+7.52316384526264e-37j), (-9.4039548065783e-38-3.9966807927957775e-37j), (-9.4039548065783e-38+0j)]",[-427.48901-122.34672j    3.92504-266.06495j -171.64529+232.4738j ],[-119.55956  -65.56005  -77.7281 ],"[8.404638001828252e-08, 6.84886288302028e-08, 7.01156639483523e-08]",-,Function Used
1,"[(-108.92924131551811+111.23035675179689j), (139.65735903408606+159.98681551445523j), (-212.21505881758975+75.15910681312097j)]",[-427.48901+122.34672j    3.92504+266.06495j -171.64529-232.4738j ],[-20.29802 166.36403 -91.17408],"[1.216294446387478e-07, 1.8630176410153489e-07, 1.419648454509022e-07]",-,4*x**3 + 6.74318530717959*x*y**2 + 5.7*x*z**2 - 20000.0*x - 40000.0*y - 121000.0*z
2,"[(427.48901391697257+122.34672187940491j), (-3.925042029453462+266.064947656982j), (171.6452900654695-232.47380028803522j)]",[-339.19427 -68.55266j -110.34999+367.68157j  257.04809+102.28612j],[0. 0. 0.],"[1.7572159193561605e-08, 1.4167127661262764e-07, 4.9491711912998644e-08]",-,6.74318530717959*x**2*y - 40000.0*x + 8*y**3 + 8.56637061435917*y*z**2 - 240000.0*y + 110000.0*z
3,"[(119.55955525097681-1.910522504832138e-31j), (65.56005054736615+7.642090019328552e-31j), (77.72810029403983+7.395570986446986e-32j)]",[-339.19427 +68.55266j -110.34999-367.68157j  257.04809-102.28612j],[  20.29802 -166.36403   91.17408],"[7.858508493650328e-08, 2.242921773119326e-08, 1.0618711124166268e-07]",-,5.7*x**2*z - 121000.0*x + 8.56637061435917*y**2*z + 110000.0*y + 5.8*z**3 - 60000.0*z
4,"[(-319.06294707656144+328.80080307594864j), (-130.50240412793548-146.4912010280747j), (-260.33801671457314-232.71590263441405j)]",[-319.32177-229.81876j  105.01284+182.72281j -289.39847+297.32694j],[119.55956  65.56005  77.7281 ],"[1.037745794444093e-07, 1.0303643856897451e-07, 8.57626231999795e-08]",-,
5,"[(319.32177096933526+229.81875973761203j), (-105.01284140412879-182.72281373866775j), (289.3984710264187-297.32693975258684j)]",[-319.32177+229.81876j  105.01284-182.72281j -289.39847-297.32694j],,"[5.674193133312396e-08, 4.998001405968792e-08, 7.11715712194994e-08]",-,Time Taken
6,"[(20.2980154545767+7.703719777548943e-32j), (-166.36403476891465+3.0506730319093816e-31j), (91.17407942398115+6.1937907011493505e-31j)]",[-319.06295-328.8008j -130.5024 +146.4912j -260.33802+232.7159j],,"[5.3338039902137046e-08, 6.746787680787904e-08, 3.166496753692627e-08]",-,6.746689796447754
7,"[(339.1942701607691+68.55265855831018j), (110.3499891660181-367.6815713647697j), (-257.04808806313423-102.28611630303732j)]",[-319.06295+328.8008j -130.5024 -146.4912j -260.33802-232.7159j],,"[7.11715712194994e-08, 4.9701571703427785e-08, 7.450580596923828e-08]",-,
8,"[(319.0629470765616+328.8008030759486j), (130.5024041279355-146.49120102807487j), (260.3380167145731-232.71590263441414j)]",[-119.55956+0.j  -65.56005-0.j  -77.7281 -0.j],,"[1.862645149230957e-09, 1.4196759016256138e-27, 1.862645149230957e-09]",-,Root Finding Method Used
9,"[(-339.194270160769-68.55265855831011j), (-110.34998916601809+367.6815713647696j), (257.0480880631342+102.28611630303733j)]",[-108.92924-111.23036j  139.65736-159.98682j -212.21506 -75.15911j],,"[9.313225746154785e-09, 1.862645149230957e-09, 1.7986826520252942e-08]",-,Newton-Raphson with 50 steps.
10,"[(-319.3217709693352-229.8187597376119j), (105.01284140412872+182.7228137386676j), (-289.3984710264185+297.3269397525867j)]",[-108.92924+111.23036j  139.65736+159.98682j -212.21506 +75.15911j],,"[1.0536712127723509e-08, 8.381903171539307e-09, 3.0321666218526114e-08]",-,
11,"[(-427.4890139169727+122.34672187940464j), (3.925042029453421+266.064947656982j), (-171.64529006546923-232.47380028803514j)]",[-20.29802-0.j 166.36403+0.j -91.17408-0.j],,"[1.862645149230957e-09, 3.5672587997638026e-25, 3.725290298461914e-09]",-,Worst Accuracy
12,"[(7.52316384526264e-37-3.76158192263132e-37j), (9.4039548065783e-38-1.88079096131566e-37j), (-9.4039548065783e-38+0j)]",[-0.-104.28247j -0. +35.9828j   0. +91.34381j],,"[2.682565149038735e-25, 1.862645149230957e-09, 1.862645149230957e-09]",-,1.8630176410153489e-07
13,"[(-319.06294707656144-328.8008030759485j), (-130.5024041279354+146.49120102807473j), (-260.33801671457314+232.71590263441408j)]",[-0.+0.j -0.-0.j -0.+0.j],,"[3.020133928162094e-32, 7.825650034207109e-32, 1.6023699492165792e-31]",-,
14,"[(3.5745259767827097e-31+104.28246891149875j), (6.224605580259546e-31-35.98280282762135j), (5.17689969051289e-31-91.34381143865977j)]",[0.+104.28247j 0. -35.9828j  0. -91.34381j],,"[7.373891490765738e-26, 1.862645149230957e-09, 1.862645149230957e-09]",-,Number of Homotopy Steps
15,"[(-427.48901391697245-122.34672187940467j), (3.92504202945344-266.06494765698193j), (-171.64529006546923+232.47380028803508j)]",[  20.29802+0.j -166.36403+0.j   91.17408+0.j],,"[1.862645149230957e-09, 5.257866924306601e-26, 3.725290298461914e-09]",-,5
16,"[(-319.3217709693354+229.8187597376121j), (105.01284140412884-182.72281373866772j), (-289.39847102641875-297.326939752587j)]",[ 108.92924-111.23036j -139.65736-159.98682j  212.21506 -75.15911j],,"[1.0536712127723509e-08, 8.33000234328132e-09, 1.7670603432702158e-08]",-,
17,"[(-339.1942701607691+68.55265855831016j), (-110.34998916601806-367.6815713647697j), (257.0480880631342-102.28611630303726j)]",[119.55956-0.j  65.56005+0.j  77.7281 +0.j],,"[1.862645149230957e-09, 1.0673564406199987e-26, 1.862645149230957e-09]",-,Number of Roots Found
18,"[(319.3217709693352-229.818759737612j), (-105.01284140412874+182.72281373866758j), (289.3984710264186+297.32693975258684j)]",[319.06295-328.8008j 130.5024 +146.4912j 260.33802+232.7159j],,"[1.301187962038292e-07, 9.842101345675369e-08, 1.4374987320285096e-07]",-,27
19,"[(339.194270160769-68.55265855831013j), (110.34998916601805+367.6815713647696j), (-257.0480880631342+102.28611630303729j)]",[319.06295+328.8008j 130.5024 -146.4912j 260.33802-232.7159j],,"[5.21540641784668e-08, 8.204100856760606e-08, 9.680380270023855e-08]",-,
20,"[(-20.298015454576696-7.765349535769335e-31j), (166.36403476891465+3.143117669239969e-31j), (-91.17407942398115-8.920907502401676e-31j)]",[ 319.32177-229.81876j -105.01284+182.72281j  289.39847+297.32694j],,"[6.869095904598301e-08, 6.516596557399593e-08, 1.2605580922729247e-07]",-,Number of Unique Roots
21,"[(319.06294707656156-328.8008030759487j), (130.50240412793548+146.49120102807476j), (260.33801671457314+232.7159026344141j)]",[ 319.32177+229.81876j -105.01284-182.72281j  289.39847-297.32694j],,"[1.3328003749250113e-07, 5.3338039902137046e-08, 1.1506263324231283e-07]",-,26
22,"[(-1.3312027775604574e-30-104.28246891149875j), (-5.17689969051289e-31+35.98280282762135j), (1.232595164407831e-31+91.34381143865977j)]",[ 339.19427 -68.55266j  110.34999+367.68157j -257.04809+102.28612j],,"[4.9701571703427785e-08, 1.3489718033745815e-07, 3.748501054476594e-08]",-,
23,"[(-119.55955525097681+5.361788965174065e-31j), (-65.56005054736615-1.3065508742723008e-30j), (-77.72810029403983-1.1093356479670479e-31j)]",[ 339.19427 +68.55266j  110.34999-367.68157j -257.04809-102.28612j],,"[1.13300281209838e-08, 8.494968899333014e-08, 1.686696920196976e-08]",-,
24,"[(427.4890139169726-122.34672187940484j), (-3.9250420294535258-266.06494765698204j), (171.6452900654694+232.47380028803514j)]",[427.48901-122.34672j  -3.92504-266.06495j 171.64529+232.4738j ],,"[1.0120181521181855e-07, 7.831974343072116e-08, 9.134560700684211e-08]",-,
25,"[(-108.9292413155182-111.23035675179692j), (139.65735903408603-159.98681551445534j), (-212.2150588175898-75.15910681312096j)]",[427.48901+122.34672j  -3.92504+266.06495j 171.64529-232.4738j ],,"[1.0350677363164577e-07, 1.049712509185476e-07, 5.0840318441227753e-08]",-,
26,"[(108.92924131551814-111.2303567517969j), (-139.65735903408603-159.9868155144553j), (212.2150588175898-75.15910681312094j)]",,,,,
