,Roots,Unique Roots,Real Roots,Accuracy,Paths,Other Info
0,"[(119.55955525097683-1.4174844390690056e-30j), (65.56005054736615+7.839305245633805e-30j), (77.72810029403983+1.232595164407831e-32j)]",[-427.48901-122.34672j    3.92504-266.06495j -171.64529+232.4738j ],[-119.55956  -65.56005  -77.7281 ],"[5.637387167819424e-08, 3.725290298461914e-08, 6.780130685568339e-08]",-,Function Used
1,"[(-427.48901391697245+122.34672187940477j), (3.92504202945341+266.06494765698193j), (-171.6452900654694-232.47380028803514j)]",[-427.48901+122.34672j    3.92504+266.06495j -171.64529-232.4738j ],[-20.29802 166.36403 -91.17408],"[9.342980536806921e-08, 1.2088552668383682e-07, 1.1764193083821332e-07]",-,4*x**3 + 6.74318530717959*x*y**2 + 5.7*x*z**2 - 20000.0*x - 40000.0*y - 121000.0*z
2,"[(427.48901391697245+122.34672187940488j), (-3.9250420294534694+266.06494765698193j), (171.64529006546945-232.47380028803514j)]",[-339.19427 -68.55266j -110.34999+367.68157j  257.04809+102.28612j],[0. 0. 0.],"[4.360340502381185e-08, 6.191719375027217e-08, 3.6166026888317614e-08]",-,6.74318530717959*x**2*y - 40000.0*x + 8*y**3 + 8.56637061435917*y*z**2 - 240000.0*y + 110000.0*z
3,"[(119.55955525097683-1.0477058897466563e-30j), (65.56005054736615+8.714447812363365e-30j), (77.72810029403983-9.860761315262648e-32j)]",[-339.19427 +68.55266j -110.34999-367.68157j  257.04809-102.28612j],[  20.29802 -166.36403   91.17408],"[6.7158625935464895e-09, 1.367744784853296e-07, 1.0238196424951935e-07]",-,5.7*x**2*z - 121000.0*x + 8.56637061435917*y**2*z + 110000.0*y + 5.8*z**3 - 60000.0*z
4,"[(-319.0629470765616+328.80080307594847j), (-130.5024041279354-146.4912010280748j), (-260.3380167145731-232.71590263441416j)]",[-319.32177-229.81876j  105.01284+182.72281j -289.39847+297.32694j],[119.55956  65.56005  77.7281 ],"[4.53201124839352e-08, 1.1780402288468105e-07, 7.11715712194994e-08]",-,
5,"[(319.0629470765616+328.8008030759485j), (130.50240412793528-146.49120102807493j), (260.33801671457314-232.71590263441416j)]",[-319.32177+229.81876j  105.01284-182.72281j -289.39847-297.32694j],,"[8.494968899333014e-08, 4.7415204574755785e-08, 9.094592642585711e-08]",-,Time Taken
6,"[(20.29801545457671-2.428212473883427e-30j), (-166.36403476891465+8.628166150854817e-32j), (91.17407942398117-3.377310750477457e-30j)]",[-319.06295-328.8008j -130.5024 +146.4912j -260.33802+232.7159j],,"[9.06402249678704e-08, 2.634178031930877e-08, 1.0617077350616455e-07]",-,6.150442123413086
7,"[(-319.3217709693353+229.81875973761214j), (105.01284140412879-182.72281373866764j), (-289.39847102641875-297.32693975258695j)]",[-319.06295+328.8008j -130.5024 -146.4912j -260.33802-232.7159j],,"[7.11715712194994e-08, 5.21540641784668e-08, 5.3338039902137046e-08]",-,
8,"[(319.3217709693353+229.81875973761208j), (-105.01284140412874-182.72281373866778j), (289.3984710264188-297.32693975258684j)]",[-119.55956-0.j  -65.56005-0.j  -77.7281 -0.j],,"[5.2443902157554e-24, 1.6155862622123357e-24, 1.862645149230957e-09]",-,Root Finding Method Used
9,"[(-319.06294707656144-328.80080307594864j), (-130.50240412793545+146.49120102807476j), (-260.3380167145732+232.71590263441405j)]",[-108.92924-111.23036j  139.65736-159.98682j -212.21506 -75.15911j],,"[8.33000234328132e-09, 3.7438704152110554e-08, 3.627378883613357e-08]",-,Newton-Raphson with 50 steps.
10,"[(-108.92924131551817+111.23035675179692j), (139.657359034086+159.98681551445534j), (-212.21505881758986+75.15910681312091j)]",[-108.92924+111.23036j  139.65736+159.98682j -212.21506 +75.15911j],,"[0.0, 3.890432151817795e-08, 1.041250292910165e-08]",-,
11,"[(-339.19427016076895-68.5526585583101j), (-110.34998916601803+367.68157136476964j), (257.04808806313434+102.28611630303723j)]",[-20.29802+0.j 166.36403+0.j -91.17408+0.j],,"[1.862645149230957e-09, 1.841839915164343e-25, 3.725290298461914e-09]",-,Worst Accuracy
12,"[(-319.32177096933543-229.81875973761203j), (105.01284140412884+182.7228137386678j), (-289.39847102641875+297.326939752587j)]",[-0.-104.28247j -0. +35.9828j   0. +91.34381j],,"[3.849064298463126e-28, 1.862645149230957e-09, 1.1242551202602702e-25]",-,1.7556356888932257e-07
13,"[1.88079096131566e-37j, (9.4039548065783e-38+2.350988701644575e-38j), 2.938735877055719e-38j]",[0.+0.j 0.+0.j 0.+0.j],,"[9.074224434548001e-33, 2.4658568332829536e-32, 2.4251550992540686e-32]",-,
14,"[(-339.194270160769+68.55265855831009j), (-110.34998916601803-367.6815713647697j), (257.04808806313434-102.28611630303725j)]",[-0.+104.28247j  0. -35.9828j  -0. -91.34381j],,"[1.7089950362572703e-26, 1.862645149230957e-09, 9.393473259022327e-26]",-,Number of Homotopy Steps
