0.01815558513853969 + 1.4362030822025307im,1.1979444225962341 + 2.073028696602043im,0.6331526750002754 - 0.15516073383436896im,-0.4505178244964376 + 1.3993584785080582im
-1.1787377631871976 - 0.13251346547743048im,1.2524203121764312 + 2.1038995196296364im,0.36376756293554724 + 1.3881940814857028im,1.4263131742129798 + 2.1859731580056505im
1.2405037902831813 - 1.342674079599737im,1.0994721350569934 + 2.1960154737610984im,0.12113404656524993 + 2.2821339455831366im,2.539530764970715 + 1.9771621093669869im
0.6180438792527695 + 1.0527447019386427im,-2.387619796612058 + 0.006729011097103589im,0.3696004785702434 + 0.7419707039630778im,0.5738628588562421 + 1.921279970211013im
-1.6729251946566093 - 0.3450261676782402im,-2.5435130688745016 + 0.036169374170507564im,-0.16725972750552093 + 2.2565757519027634im,1.7395089133600112 + 2.7935777783473648im
1.3527984766392898 - 0.8013301516849625im,-2.394381117799302 - 0.061493945716200045im,0.012000709847366333 + 1.2665701341664803im,1.8811654113476766 + 2.018997221659809im
0.6509527653396814 + 1.5807230665026373im,1.1314272933810143 - 2.0900891206797376im,-0.15838731419263422 + 1.7458078677099678im,0.4445522433578853 + 2.065388960606867im
-1.2679513480589963 - 0.7188135050876188im,1.2589599828935305 - 2.107653214014977im,-0.605705589949643 + 1.0974220337961353im,0.8802347699859013 + 2.657489978334384im
0.7942003712545136 - 1.0620350295155399im,1.2648437925572678 - 2.1059808883649707im,0.8010259257117758 + 1.5372786174860802im,1.9985108278444803 + 1.3648395681338565im
0.24720442065784126 + 1.4153852454453277im,1.2515541691700716 + 2.1091703826782395im,-1.2894122143137507 + 0.7210142030503869im,-0.13783751963993854 + 2.1425218563179im
-1.8463921148474605 - 0.30771843593602644im,1.0615206500737229 + 2.1575902689310285im,-1.9029505601897363 - 1.2525268466490815im,1.8722081742712684 + 2.66146344618065im
1.3942254665805354 - 1.8992552370346418im,1.156512703943502 + 1.9565233807803983im,-1.302578451201547 - 0.7100272434180092im,2.714899802410522 + 1.843693693096164im
0.6737284119823671 + 1.325836671808077im,-2.4532968233327437 + 0.008703144907889425im,-1.410907625209454 - 0.774387210461951im,0.3789313242790262 + 1.5868107888340495im
-2.1881032137558423 - 0.549833263611651im,-2.2910440397306577 - 0.12961847991672826im,-0.9704355163098316 - 1.4401337541388908im,1.5405664229749865 + 3.3928195098920577im
1.328393307945324 - 1.4680768404086713im,-2.2903100061868535 - 0.04263457302284973im,-1.961739027320507 + 0.0096800049626452im,2.360040763053838 + 1.340023588438629im
0.5214300635439393 + 1.7971122755484803im,1.293988801956207 - 2.078529851805908im,-0.16322153570979242 - 1.6418831562561376im,0.027750141356636462 + 2.560512880372937im
-1.7100257234240377 - 0.8176286316969482im,1.2519793934152004 - 2.00877983855637im,-1.2656031820095979 - 0.5310325551153938im,0.8928994006154048 + 2.8705371605691465im
